Channels,PIR,Avg_IP_Throughput_flits_cycle_IP,Avg_Global_Avg_Delay_cycles,Avg_Total_Energy_J,Valid_Runs
1,0.001,1.1712890000e-02,175.177100,3.0925920000e-04,10
1,0.002,1.5014100000e-02,751.856800,3.0984250000e-04,10
1,0.003,1.4443170000e-02,1280.380000,3.1000170000e-04,10
1,0.004,1.3079980000e-02,1806.494000,3.0999820000e-04,10
1,0.005,1.2526680000e-02,2190.244000,3.1004410000e-04,10
1,0.006,1.1887210000e-02,2523.904000,3.1008600000e-04,10
1,0.007,1.1340780000e-02,2968.744000,3.1007870000e-04,10
1,0.008,1.1127600000e-02,3180.274000,3.1010380000e-04,10
1,0.009,1.0444235000e-02,3454.984000,3.1004030000e-04,10
1,0.01,1.0621836000e-02,3586.321000,3.1008930000e-04,10
4,0.001,1.1978820000e-02,28.458810,4.4326170000e-04,10
4,0.002,2.4038530000e-02,35.904240,4.4644190000e-04,10
4,0.003,3.5926090000e-02,68.183370,4.4968250000e-04,10
4,0.004,4.4861940000e-02,267.744600,4.5132770000e-04,10
4,0.005,4.7086420000e-02,627.335000,4.5183110000e-04,10
4,0.006,4.6226340000e-02,1053.620000,4.5194950000e-04,10
4,0.007,4.5437260000e-02,1474.924000,4.5196420000e-04,10
4,0.008,4.5591230000e-02,1849.871000,4.5206390000e-04,10
4,0.009,4.4684630000e-02,2165.102000,4.5204380000e-04,10
4,0.01,4.4961030000e-02,2406.422000,4.5210770000e-04,10
8,0.001,1.1943050000e-02,26.880790,6.2142960000e-04,10
8,0.002,2.3981290000e-02,30.864530,6.2464990000e-04,10
8,0.003,3.5880340000e-02,37.218720,6.2789700000e-04,10
8,0.004,4.7661430000e-02,47.725920,6.3116090000e-04,10
8,0.005,5.9899680000e-02,70.251900,6.3434600000e-04,10
8,0.006,7.1603420000e-02,131.795900,6.3726780000e-04,10
8,0.007,7.8477250000e-02,403.059700,6.3883650000e-04,10
8,0.008,7.9849480000e-02,795.202700,6.3932020000e-04,10
8,0.009,7.9874420000e-02,1178.580000,6.3950200000e-04,10
8,0.01,7.9670350000e-02,1554.517000,6.3955180000e-04,10
12,0.001,1.1983030000e-02,26.672070,7.9958750000e-04,10
12,0.002,2.3976090000e-02,30.102660,8.0283360000e-04,10
12,0.003,3.5936510000e-02,35.102490,8.0605410000e-04,10
12,0.004,4.7915100000e-02,42.872200,8.0931710000e-04,10
12,0.005,5.9959260000e-02,58.515680,8.1268750000e-04,10
12,0.006,7.1809510000e-02,91.866390,8.1581180000e-04,10
12,0.007,8.1077770000e-02,285.818700,8.1852280000e-04,10
12,0.008,8.3557490000e-02,641.672300,8.1950110000e-04,10
12,0.009,8.3594100000e-02,1035.685700,8.1972500000e-04,10
12,0.01,8.3271020000e-02,1402.949000,8.1993860000e-04,10
16,0.001,1.1996050000e-02,26.467590,9.7777630000e-04,10
16,0.002,2.3989750000e-02,29.669100,9.8107020000e-04,10
16,0.003,3.5988880000e-02,34.467460,9.8428370000e-04,10
16,0.004,4.7665180000e-02,41.553680,9.8738590000e-04,10
16,0.005,5.9862690000e-02,54.782030,9.9078370000e-04,10
16,0.006,7.1751220000e-02,89.197300,9.9390850000e-04,10
16,0.007,8.0763970000e-02,297.979500,9.9656010000e-04,10
16,0.008,8.3399360000e-02,647.029100,9.9760250000e-04,10
16,0.009,8.3879000000e-02,1016.390500,9.9818020000e-04,10
16,0.01,8.2730720000e-02,1410.891000,9.9798810000e-04,10
