Channels,PIR,Run,Seed,Avg_IP_Throughput_flits_cycle_IP,Global_Avg_Delay_cycles,Total_Energy_J
1,0.001,1,0,0.0112661,206.656,0.000309224
1,0.001,2,100,0.0113815,179.871,0.000309238
1,0.001,3,200,0.0113672,151.663,0.000309218
1,0.001,4,300,0.0120694,137.765,0.000309278
1,0.001,5,400,0.0121502,201.772,0.00030929
1,0.001,6,500,0.0118433,172.556,0.000309266
1,0.001,7,600,0.0115026,149.056,0.000309248
1,0.001,8,700,0.0116137,208.022,0.000309269
1,0.001,9,800,0.011714,151.128,0.000309247
1,0.001,10,900,0.0122209,193.282,0.000309314
1,0.002,1,0,0.0153212,725.839,0.000309845
1,0.002,2,100,0.0148498,674.928,0.000309793
1,0.002,3,200,0.0147626,735.963,0.000309801
1,0.002,4,300,0.0152886,706.897,0.000309855
1,0.002,5,400,0.0148767,774.434,0.000309856
1,0.002,6,500,0.0154062,779.249,0.000309864
1,0.002,7,600,0.0156363,690.573,0.000309891
1,0.002,8,700,0.0147257,804.307,0.000309876
1,0.002,9,800,0.0148481,702.306,0.000309818
1,0.002,10,900,0.0144258,924.072,0.000309826
1,0.003,1,0,0.01375,1461.37,0.000309945
1,0.003,2,100,0.0135712,1245.47,0.000309911
1,0.003,3,200,0.0153437,1135.5,0.000310053
1,0.003,4,300,0.0145069,1269.15,0.000310027
1,0.003,5,400,0.0141936,1355.78,0.000309982
1,0.003,6,500,0.0136784,1346.7,0.000309943
1,0.003,7,600,0.0152135,1353.22,0.000310072
1,0.003,8,700,0.0147812,1154.99,0.000310047
1,0.003,9,800,0.0155234,1234.69,0.000310062
1,0.003,10,900,0.0138698,1246.93,0.000309975
1,0.004,1,0,0.0123932,1836.93,0.000309918
1,0.004,2,100,0.0130803,1805.58,0.000309987
1,0.004,3,200,0.0142322,1757.52,0.000310082
1,0.004,4,300,0.0143247,1788.05,0.000310128
1,0.004,5,400,0.0126354,1954.69,0.000309964
1,0.004,6,500,0.0132296,1834.91,0.000309996
1,0.004,7,600,0.0128424,1798.11,0.000309963
1,0.004,8,700,0.0117921,1845.27,0.000309919
1,0.004,9,800,0.0133229,1626.89,0.000310006
1,0.004,10,900,0.012947,1816.99,0.000310019
1,0.005,1,0,0.0125247,2009.23,0.000310044
1,0.005,2,100,0.012378,2198.25,0.000310005
1,0.005,3,200,0.0137478,2175.73,0.00031009
1,0.005,4,300,0.0129926,2218.87,0.000310116
1,0.005,5,400,0.0120924,2164.85,0.000310006
1,0.005,6,500,0.0117383,2081.53,0.000309949
1,0.005,7,600,0.0129358,2196.67,0.00031012
1,0.005,8,700,0.0118494,2160.36,0.000310013
1,0.005,9,800,0.0120074,2397.17,0.000309989
1,0.005,10,900,0.0130004,2299.78,0.000310109
1,0.006,1,0,0.0121667,2383.22,0.000310073
1,0.006,2,100,0.0110977,2564.72,0.00031004
1,0.006,3,200,0.0124102,2650.97,0.000310109
1,0.006,4,300,0.0118403,2534.8,0.000310121
1,0.006,5,400,0.0113086,2521.28,0.000310037
1,0.006,6,500,0.0121267,2593.72,0.000310076
1,0.006,7,600,0.0125,2338.86,0.000310163
1,0.006,8,700,0.0115074,2715.94,0.000310054
1,0.006,9,800,0.0113086,2315.15,0.00031002
1,0.006,10,900,0.0126059,2620.38,0.000310167
1,0.007,1,0,0.0112092,3130.19,0.00031005
1,0.007,2,100,0.0110677,2822.09,0.000310004
1,0.007,3,200,0.0111671,3158.56,0.000310075
1,0.007,4,300,0.0126298,3012.61,0.000310237
1,0.007,5,400,0.0111688,2867.49,0.000310035
1,0.007,6,500,0.0119926,2913.83,0.000310125
1,0.007,7,600,0.0111853,2754.34,0.000310087
1,0.007,8,700,0.0108051,2918.04,0.000310041
1,0.007,9,800,0.0115898,3083.27,0.000310096
1,0.007,10,900,0.0105924,3027.02,0.000310037
1,0.008,1,0,0.0119809,2987.7,0.000310167
1,0.008,2,100,0.0108576,3184.68,0.00031012
1,0.008,3,200,0.0112018,3288.78,0.000310116
1,0.008,4,300,0.0114701,3247.55,0.000310114
1,0.008,5,400,0.0107591,3098.47,0.000310074
1,0.008,6,500,0.0113746,3184.71,0.00031011
1,0.008,7,600,0.0116458,3115.03,0.000310172
1,0.008,8,700,0.0113637,3336.18,0.000310133
1,0.008,9,800,0.0102522,3180.54,0.000309996
1,0.008,10,900,0.0103702,3179.1,0.000310036
1,0.009,1,0,0.0104961,3327.34,0.000310039
1,0.009,2,100,0.0104388,3506.65,0.000310081
1,0.009,3,200,0.0118056,3622.96,0.000310146
1,0.009,4,300,0.010832,3411.97,0.000310109
1,0.009,5,400,0.0102235,3265.03,0.000310012
1,0.009,6,500,0.00948568,3569.8,0.000309938
1,0.009,7,600,0.0100521,3464.84,0.000310007
1,0.009,8,700,0.00952257,3315.2,0.000309998
1,0.009,9,800,0.0108082,3405.73,0.000309987
1,0.009,10,900,0.0107778,3660.32,0.000310086
1,0.01,1,0,0.0117357,3615.41,0.000310151
1,0.01,2,100,0.0112721,3502.91,0.000310155
1,0.01,3,200,0.0102973,3321.75,0.000310044
1,0.01,4,300,0.0112049,3489.4,0.000310114
1,0.01,5,400,0.00932639,3611.12,0.000309977
1,0.01,6,500,0.0107044,3720.62,0.000310083
1,0.01,7,600,0.0107053,3793.7,0.000310102
1,0.01,8,700,0.00954427,3788.13,0.000310045
1,0.01,9,800,0.0104336,3507.91,0.000310073
1,0.01,10,900,0.0109944,3512.26,0.000310149
4,0.001,1,0,0.0118763,28.9803,0.000443381
4,0.001,2,100,0.0117587,28.8235,0.000443277
4,0.001,3,200,0.0118012,28.8945,0.000443182
4,0.001,4,300,0.0122166,28.8425,0.000443371
4,0.001,5,400,0.0122031,28.0965,0.00044328
4,0.001,6,500,0.0117834,28.9341,0.000443283
4,0.001,7,600,0.0117305,28.5282,0.000443197
4,0.001,8,700,0.0119397,27.6072,0.000443269
4,0.001,9,800,0.0120256,27.8667,0.000443104
4,0.001,10,900,0.0124531,28.0146,0.000443273
4,0.002,1,0,0.0240117,37.5396,0.000446453
4,0.002,2,100,0.0234136,35.3084,0.000446308
4,0.002,3,200,0.0239926,35.8325,0.000446385
4,0.002,4,300,0.0243077,35.5411,0.000446463
4,0.002,5,400,0.024128,36.8799,0.00044652
4,0.002,6,500,0.024003,36.4145,0.000446387
4,0.002,7,600,0.0240109,34.0219,0.000446271
4,0.002,8,700,0.0238724,35.2738,0.000446588
4,0.002,9,800,0.0243798,36.1938,0.000446489
4,0.002,10,900,0.0242656,36.0369,0.000446555
4,0.003,1,0,0.0359171,70.0807,0.000449821
4,0.003,2,100,0.0359219,72.0321,0.000449802
4,0.003,3,200,0.0357201,68.3275,0.000449635
4,0.003,4,300,0.0356137,57.0312,0.000449343
4,0.003,5,400,0.0358277,68.1772,0.000449643
4,0.003,6,500,0.0361497,62.8244,0.000449578
4,0.003,7,600,0.0354436,61.4822,0.00044949
4,0.003,8,700,0.0359188,82.4508,0.000449895
4,0.003,9,800,0.0362457,72.8179,0.000449843
4,0.003,10,900,0.0365026,66.6097,0.000449775
4,0.004,1,0,0.0446649,272.626,0.000451297
4,0.004,2,100,0.0443177,297.548,0.000451279
4,0.004,3,200,0.0443819,240.913,0.000451249
4,0.004,4,300,0.0459909,187.519,0.000451379
4,0.004,5,400,0.0449935,272.129,0.000451351
4,0.004,6,500,0.0439236,326.839,0.000451288
4,0.004,7,600,0.0443898,296.597,0.000451275
4,0.004,8,700,0.0449414,294.579,0.000451354
4,0.004,9,800,0.0453681,239.359,0.000451407
4,0.004,10,900,0.0456476,249.337,0.000451398
4,0.005,1,0,0.0470608,643.388,0.000451829
4,0.005,2,100,0.0469687,560.539,0.000451768
4,0.005,3,200,0.0483016,606.931,0.000451911
4,0.005,4,300,0.047997,637.181,0.000451876
4,0.005,5,400,0.0458733,685.308,0.000451777
4,0.005,6,500,0.0470004,686.872,0.000451888
4,0.005,7,600,0.0461398,595.716,0.000451767
4,0.005,8,700,0.0455634,674.22,0.000451733
4,0.005,9,800,0.0485104,566.777,0.000451872
4,0.005,10,900,0.0474488,616.418,0.00045189
4,0.006,1,0,0.0458542,1115.55,0.000451855
4,0.006,2,100,0.0460686,1092.03,0.000451977
4,0.006,3,200,0.0456024,985.732,0.000451939
4,0.006,4,300,0.0479514,1004.39,0.000452021
4,0.006,5,400,0.0464544,1041.33,0.00045194
4,0.006,6,500,0.0468628,1027.14,0.000452042
4,0.006,7,600,0.0458468,969.256,0.000451977
4,0.006,8,700,0.0440395,1085.18,0.00045178
4,0.006,9,800,0.0476701,997.322,0.00045203
4,0.006,10,900,0.0459132,1218.27,0.000451934
4,0.007,1,0,0.0471714,1539.69,0.000452116
4,0.007,2,100,0.0442882,1393.66,0.000451858
4,0.007,3,200,0.0450525,1619.45,0.000451932
4,0.007,4,300,0.044865,1362.8,0.000451928
4,0.007,5,400,0.0436354,1355.85,0.000451736
4,0.007,6,500,0.0465642,1463.16,0.000452099
4,0.007,7,600,0.0439201,1568.12,0.000451888
4,0.007,8,700,0.045898,1546.51,0.00045196
4,0.007,9,800,0.0462595,1384.59,0.000452035
4,0.007,10,900,0.0467183,1515.41,0.00045209
4,0.008,1,0,0.045799,1849.08,0.000452049
4,0.008,2,100,0.0450877,1880.13,0.000452036
4,0.008,3,200,0.0472708,1822.05,0.000452168
