Channels,PIR,Avg_Throughput_flits_cycle_IP,Avg_Global_Avg_Delay_cycles,Avg_Energy_J,Valid_Runs
1,0.001,1.0457730000e-02,381.766800,3.0977010000e-04,10
1,0.002,1.0991090000e-02,1218.182000,3.1032440000e-04,10
1,0.003,1.0368304000e-02,1798.972000,3.1045090000e-04,10
1,0.004,1.0346188000e-02,2337.367000,3.1054600000e-04,10
1,0.005,9.8023050000e-03,2805.515000,3.1053250000e-04,10
1,0.006,9.2804680000e-03,3133.534000,3.1052260000e-04,10
1,0.007,9.3091980000e-03,3396.025000,3.1055650000e-04,10
1,0.008,9.4416680000e-03,3450.769000,3.1057530000e-04,10
1,0.009,9.1752620000e-03,3722.021000,3.1056340000e-04,10
1,0.01,9.5236990000e-03,3787.571000,3.1059230000e-04,10
4,0.001,1.1947790000e-02,44.887790,4.4427790000e-04,10
4,0.002,2.3988280000e-02,72.383080,4.4855340000e-04,10
4,0.003,3.2460600000e-02,439.813900,4.5164520000e-04,10
4,0.004,3.3314590000e-02,1121.474100,4.5220650000e-04,10
4,0.005,3.3912360000e-02,1632.903000,4.5250240000e-04,10
4,0.006,3.4007070000e-02,2129.289000,4.5260510000e-04,10
4,0.007,3.3617320000e-02,2448.475000,4.5258900000e-04,10
4,0.008,3.3949950000e-02,2762.902000,4.5265210000e-04,10
4,0.009,3.4164020000e-02,2992.395000,4.5274280000e-04,10
4,0.01,3.4333860000e-02,3216.480000,4.5277130000e-04,10
8,0.001,1.1974300000e-02,42.976420,6.2245230000e-04,10
8,0.002,2.3971530000e-02,57.655090,6.2683940000e-04,10
8,0.003,3.3218280000e-02,308.627100,6.3046150000e-04,10
8,0.004,3.5230960000e-02,851.946900,6.3166130000e-04,10
8,0.005,3.5554770000e-02,1347.014000,6.3213190000e-04,10
8,0.006,3.7025440000e-02,1649.538000,6.3280800000e-04,10
8,0.007,3.7376210000e-02,2003.150000,6.3293030000e-04,10
8,0.008,3.7613850000e-02,2288.267000,6.3306320000e-04,10
8,0.009,3.7974820000e-02,2477.079000,6.3326650000e-04,10
8,0.01,3.8779920000e-02,2666.452000,6.3357040000e-04,10
12,0.001,1.1962860000e-02,42.614530,8.0068130000e-04,10
12,0.002,2.3910840000e-02,56.478650,8.0495520000e-04,10
12,0.003,3.3134870000e-02,314.730200,8.0862630000e-04,10
12,0.004,3.5145830000e-02,818.317600,8.0981820000e-04,10
12,0.005,3.6485030000e-02,1242.100000,8.1071470000e-04,10
12,0.006,3.6974420000e-02,1631.623000,8.1100900000e-04,10
12,0.007,3.6957850000e-02,2003.945000,8.1097700000e-04,10
12,0.008,3.7605640000e-02,2238.850000,8.1132480000e-04,10
12,0.009,3.8046660000e-02,2454.763000,8.1156920000e-04,10
12,0.01,3.7812070000e-02,2728.171000,8.1157390000e-04,10
16,0.001,1.2042430000e-02,42.350570,9.7886230000e-04,10
16,0.002,2.4107080000e-02,56.272720,9.8318270000e-04,10
16,0.003,3.3238420000e-02,311.986800,9.8688760000e-04,10
16,0.004,3.4935510000e-02,828.373300,9.8800020000e-04,10
16,0.005,3.6116400000e-02,1251.694000,9.8882270000e-04,10
16,0.006,3.6596570000e-02,1666.788000,9.8906180000e-04,10
16,0.007,3.6719590000e-02,1970.064000,9.8914170000e-04,10
16,0.008,3.7451820000e-02,2252.427000,9.8961740000e-04,10
16,0.009,3.7920200000e-02,2501.903000,9.8975360000e-04,10
16,0.01,3.8297970000e-02,2679.485000,9.8990410000e-04,10
