Channels,PIR,Run,Seed,Throughput_flits_cycle_IP,Global_Avg_Delay_cycles,Energy_J
1,0.001,1,0,0.0108446,311.904,0.000309788
1,0.001,2,100,0.0102635,416.126,0.000309731
1,0.001,3,200,0.0105022,368.435,0.000309737
1,0.001,4,300,0.0105208,348.977,0.000309795
1,0.001,5,400,0.0109588,333.388,0.000309826
1,0.001,6,500,0.0100564,382.076,0.000309721
1,0.001,7,600,0.0100516,389.074,0.000309718
1,0.001,8,700,0.0103438,504.693,0.000309791
1,0.001,9,800,0.010622,352.261,0.000309808
1,0.001,10,900,0.0104136,410.734,0.000309786
1,0.002,1,0,0.0107279,1142.95,0.000310242
1,0.002,2,100,0.0113572,1122.47,0.000310336
1,0.002,3,200,0.0119444,1121.65,0.000310418
1,0.002,4,300,0.0109479,1272.45,0.000310339
1,0.002,5,400,0.0112131,1225.89,0.000310342
1,0.002,6,500,0.0102821,1265.6,0.000310218
1,0.002,7,600,0.0100503,1507.19,0.000310237
1,0.002,8,700,0.0109275,1191.58,0.000310334
1,0.002,9,800,0.0110286,1223.85,0.000310367
1,0.002,10,900,0.0114319,1108.19,0.000310411
1,0.003,1,0,0.0095842,1815.62,0.000310371
1,0.003,2,100,0.0110985,1492.82,0.000310513
1,0.003,3,200,0.0100677,1788.84,0.000310389
1,0.003,4,300,0.0104297,1863.44,0.000310478
1,0.003,5,400,0.0103472,1871.97,0.000310469
1,0.003,6,500,0.0105091,1735.35,0.000310479
1,0.003,7,600,0.0111215,1861.03,0.00031051
1,0.003,8,700,0.00970486,1948.75,0.0003104
1,0.003,9,800,0.00998438,2029.53,0.000310425
1,0.003,10,900,0.0108359,1582.37,0.000310475
1,0.004,1,0,0.0100673,2409.51,0.000310492
1,0.004,2,100,0.0107322,2157.95,0.000310578
1,0.004,3,200,0.0107899,2099.35,0.000310585
1,0.004,4,300,0.0113134,2131.89,0.000310632
1,0.004,5,400,0.0101628,2509.98,0.000310512
1,0.004,6,500,0.0111641,2454.59,0.000310647
1,0.004,7,600,0.00931076,2438.45,0.000310413
1,0.004,8,700,0.0100278,2443.49,0.000310561
1,0.004,9,800,0.0100898,2365.24,0.000310553
1,0.004,10,900,0.00980382,2363.22,0.000310487
1,0.005,1,0,0.00966059,2630.2,0.000310526
1,0.005,2,100,0.0101003,2671.15,0.000310575
1,0.005,3,200,0.00928168,2549.11,0.000310478
1,0.005,4,300,0.0110447,2905.92,0.00031069
1,0.005,5,400,0.0100048,2881,0.00031056
1,0.005,6,500,0.0102335,2853.37,0.000310576
1,0.005,7,600,0.0085447,3141.07,0.000310369
1,0.005,8,700,0.00950694,2880.63,0.000310454
1,0.005,9,800,0.00956554,2798.23,0.000310475
1,0.005,10,900,0.0100803,2744.47,0.000310622
1,0.006,1,0,0.00904297,3165.12,0.000310514
1,0.006,2,100,0.00954905,3034.48,0.000310582
1,0.006,3,200,0.00908116,3292.41,0.000310464
1,0.006,4,300,0.00924132,3283.43,0.000310496
1,0.006,5,400,0.00941276,3135.19,0.000310498
1,0.006,6,500,0.00938151,2981.34,0.00031053
1,0.006,7,600,0.00966059,2897.54,0.000310603
1,0.006,8,700,0.00920052,3190.29,0.000310531
1,0.006,9,800,0.00881293,3220.76,0.000310503
1,0.006,10,900,0.00942187,3134.78,0.000310505
1,0.007,1,0,0.0101076,3288.01,0.000310666
1,0.007,2,100,0.00882248,3366.36,0.000310471
1,0.007,3,200,0.0095599,3505.71,0.000310562
1,0.007,4,300,0.00845356,3625.38,0.000310546
1,0.007,5,400,0.00959852,3573.83,0.000310607
1,0.007,6,500,0.00893707,3330.5,0.000310477
1,0.007,7,600,0.00998047,3353.12,0.000310686
1,0.007,8,700,0.00989323,3182.56,0.000310598
1,0.007,9,800,0.00905339,3321.45,0.000310542
1,0.007,10,900,0.00868576,3413.33,0.00031041
1,0.008,1,0,0.0102908,3421.68,0.000310656
1,0.008,2,100,0.00918837,3193.2,0.000310543
1,0.008,3,200,0.0096467,3494.91,0.000310576
1,0.008,4,300,0.00932856,3461.69,0.000310572
1,0.008,5,400,0.00948872,3497.2,0.000310585
1,0.008,6,500,0.00903776,3499.26,0.000310494
1,0.008,7,600,0.00981033,3361.71,0.000310612
1,0.008,8,700,0.00923872,3577.24,0.000310549
1,0.008,9,800,0.00973264,3626.61,0.000310624
