VC,PIR,Avg_Throughput_flits_cycle_IP,Avg_Delay_cycles,Avg_Energy_J,Valid_Runs
8,0.001,.03762226,4467.982000,.0006324209,10
8,0.002,.03729402,4947.869000,.0006322997,10
8,0.003,.03733625,5158.801000,.0006322817,10
8,0.004,.03726020,5232.131000,.0006322900,10
8,0.005,.03707604,5286.666000,.0006321625,10
8,0.006,.03722420,5327.040000,.0006322099,10
8,0.007,.03711132,5360.394000,.0006322272,10
8,0.008,.03710568,5401.709000,.0006321974,10
8,0.009,.03689470,5372.226000,.0006320744,10
8,0.01,.03721089,5438.228000,.0006322009,10
