VC,PIR,Avg_Throughput_flits_cycle_IP,Avg_Delay_cycles,Avg_Energy_J,Valid_Runs
8,0.001,.04010748,5165.836000,.0006276422,10
8,0.002,.03985769,5607.941000,.0006274532,10
8,0.003,.03982614,5775.498000,.0006273183,10
8,0.004,.04007299,5852.538000,.0006274841,10
8,0.005,.03991185,5895.814000,.0006273812,10
8,0.006,.04001432,5938.210000,.0006273594,10
8,0.007,.04008404,5958.687000,.0006273167,10
8,0.008,.03960636,6010.865000,.0006272648,10
8,0.009,.04027115,6004.144000,.0006273306,10
8,0.01,.03970095,6004.331000,.0006273300,10
