VC,PIR,Run,Total_Received_Packets,Received_Ideal_Flits_Ratio,Energy_J
8,0.001,1,2299,0.998083,0.000622313
8,0.001,2,2244,0.973777,0.000622212
8,0.001,3,2281,0.989764,0.000622463
8,0.001,4,2322,1.00948,0.000622425
8,0.001,5,2316,1.00561,0.00062255
8,0.001,6,2289,0.994249,0.000622384
8,0.001,7,2235,0.969835,0.000622571
8,0.001,8,2282,0.989402,0.000622581
8,0.001,9,2324,1.00937,0.000622401
8,0.001,10,2395,1.03903,0.000622623
8,0.002,1,4660,1.01076,0.000626913
8,0.002,2,4526,0.981301,0.000626548
8,0.002,3,4615,1.00132,0.000626638
8,0.002,4,4609,1.0009,0.000626715
8,0.002,5,4551,0.986328,0.00062678
8,0.002,6,4673,1.01253,0.00062709
8,0.002,7,4617,1.00264,0.000627065
8,0.002,8,4550,0.987269,0.000626798
8,0.002,9,4708,1.0204,0.000627082
8,0.002,10,4540,0.984682,0.000626765
8,0.003,1,6346,0.916317,0.000630166
8,0.003,2,6482,0.936957,0.00063059
8,0.003,3,6460,0.933365,0.000630579
8,0.003,4,6094,0.881028,0.000630132
8,0.003,5,6369,0.921815,0.000630709
8,0.003,6,6532,0.944686,0.000630838
8,0.003,7,6432,0.929941,0.000630309
8,0.003,8,6203,0.896074,0.000630167
8,0.003,9,6495,0.94014,0.000630555
8,0.003,10,6407,0.926975,0.00063057
8,0.004,1,6858,0.743399,0.000631709
8,0.004,2,6847,0.742233,0.000631668
8,0.004,3,6859,0.744927,0.000631633
8,0.004,4,6880,0.747649,0.00063196
8,0.004,5,6629,0.719265,0.000631644
8,0.004,6,6638,0.720016,0.000631562
8,0.004,7,6813,0.739312,0.000631597
8,0.004,8,6823,0.740732,0.000631868
8,0.004,9,6550,0.710485,0.000631278
8,0.004,10,6743,0.731762,0.000631694
8,0.005,1,6618,0.57547,0.000631682
8,0.005,2,6889,0.598835,0.00063205
8,0.005,3,6933,0.602011,0.000632405
8,0.005,4,6510,0.566753,0.000631682
8,0.005,5,6732,0.584614,0.000631932
8,0.005,6,7368,0.640198,0.000633152
8,0.005,7,6683,0.58036,0.000631993
8,0.005,8,6715,0.583702,0.000631961
8,0.005,9,6878,0.597975,0.000632301
8,0.005,10,6862,0.595877,0.000632161
8,0.006,1,7321,0.531449,0.000633074
8,0.006,2,7256,0.525463,0.000633154
8,0.006,3,6945,0.502936,0.000632504
8,0.006,4,7027,0.50947,0.000632816
8,0.006,5,7268,0.526765,0.00063309
8,0.006,6,7156,0.518271,0.000633083
8,0.006,7,6877,0.499162,0.00063214
8,0.006,8,7160,0.518953,0.000632957
8,0.006,9,6994,0.507698,0.000632613
8,0.006,10,6913,0.502255,0.000632649
8,0.007,1,7141,0.443866,0.000633202
8,0.007,2,7321,0.455786,0.000633277
8,0.007,3,7007,0.4355,0.000632612
8,0.007,4,7163,0.445188,0.000632831
8,0.007,5,7171,0.445452,0.000633086
8,0.007,6,7235,0.449952,0.000632967
8,0.007,7,7071,0.439525,0.00063264
8,0.007,8,7221,0.449053,0.000632811
8,0.007,9,7163,0.445209,0.000633019
8,0.007,10,7080,0.440016,0.000632858
8,0.008,1,7297,0.397303,0.000633225
8,0.008,2,6850,0.373662,0.000632161
8,0.008,3,7294,0.397732,0.000633234
8,0.008,4,7159,0.389196,0.000632955
8,0.008,5,7266,0.395277,0.00063306
8,0.008,6,7219,0.392614,0.000633218
8,0.008,7,7006,0.381208,0.000632841
8,0.008,8,7297,0.397063,0.000633236
8,0.008,9,7433,0.404166,0.000633566
8,0.008,10,7171,0.389888,0.000633136
8,0.009,1,7388,0.357623,0.000633255
8,0.009,2,7396,0.357112,0.000633512
8,0.009,3,7177,0.347262,0.000632929
8,0.009,4,7185,0.348006,0.000633077
8,0.009,5,7278,0.352511,0.000633478
8,0.009,6,7151,0.346768,0.000633327
8,0.009,7,7255,0.350771,0.000633085
8,0.009,8,7313,0.354275,0.000633402
8,0.009,9,7366,0.356212,0.000633421
8,0.009,10,7153,0.345647,0.000633179
8,0.01,1,7106,0.309606,0.000633004
8,0.01,2,7277,0.316811,0.000633364
8,0.01,3,7698,0.335402,0.000634112
8,0.01,4,7640,0.332462,0.000633885
8,0.01,5,7336,0.319991,0.000633343
8,0.01,6,7665,0.333688,0.000634143
8,0.01,7,7527,0.327962,0.000633811
8,0.01,8,7277,0.3165,0.000633154
8,0.01,9,7300,0.31777,0.000633062
8,0.01,10,7381,0.321466,0.000633826
