VC,PIR,Run,Avg_IP_Throughput_flits_cycle_IP,Global_Avg_Delay_cycles,Total_Energy_J
1,0.001,1,0.0117348,42.8815,8.68472e-05
1,0.001,2,0.0118568,42.6589,8.68649e-05
1,0.001,3,0.0119527,43.0039,8.68798e-05
1,0.001,4,0.0121003,42.8498,8.70182e-05
1,0.001,5,0.0120998,42.5669,8.70271e-05
1,0.001,6,0.0118898,42.7564,8.69742e-05
1,0.001,7,0.0120321,43.3208,8.7002e-05
1,0.001,8,0.0119006,43.0302,8.69582e-05
1,0.001,9,0.0118954,43.364,8.69262e-05
1,0.001,10,0.0125152,44.1553,8.71139e-05
1,0.002,1,0.0238759,56.0889,9.12987e-05
1,0.002,2,0.0231215,53.1988,9.09735e-05
1,0.002,3,0.0239557,57.8882,9.12733e-05
1,0.002,4,0.0241962,61.3325,9.13141e-05
1,0.002,5,0.0236497,57.2291,9.11473e-05
1,0.002,6,0.0243099,59.271,9.15034e-05
1,0.002,7,0.0238351,56.7663,9.12012e-05
1,0.002,8,0.0242652,57.2102,9.14194e-05
1,0.002,9,0.02427,60.1591,9.1361e-05
1,0.002,10,0.024497,60.5197,9.15219e-05
1,0.003,1,0.0329618,344.795,9.44985e-05
1,0.003,2,0.0338602,298.108,9.47829e-05
1,0.003,3,0.0332661,347.741,9.46095e-05
1,0.003,4,0.0329918,373.74,9.45597e-05
1,0.003,5,0.034194,268.954,9.48423e-05
1,0.003,6,0.0336111,333.331,9.48072e-05
1,0.003,7,0.0348542,274.172,9.5529e-05
1,0.003,8,0.0343776,321.73,9.52276e-05
1,0.003,9,0.033776,254.522,9.50113e-05
1,0.003,10,0.0328047,331.376,9.45583e-05
1,0.004,1,0.0352426,918.48,9.59856e-05
1,0.004,2,0.0373646,711.153,9.62487e-05
1,0.004,3,0.0357813,928.731,9.61082e-05
1,0.004,4,0.0339536,983.737,9.53208e-05
1,0.004,5,0.0373468,723.318,9.63181e-05
1,0.004,6,0.0356988,830.904,9.57779e-05
1,0.004,7,0.0355894,920.947,9.56609e-05
1,0.004,8,0.0358034,760.356,9.58526e-05
1,0.004,9,0.0351445,810.295,9.57863e-05
1,0.004,10,0.0368229,805.949,9.60741e-05
1,0.005,1,0.0374987,1201.75,9.65368e-05
1,0.005,2,0.0374696,1296.53,9.67584e-05
1,0.005,3,0.0373832,1425.81,9.667e-05
1,0.005,4,0.0367769,1300.17,9.6425e-05
1,0.005,5,0.0350438,1347.52,9.59477e-05
1,0.005,6,0.0372678,1240.57,9.67568e-05
1,0.005,7,0.0354557,1383,9.58712e-05
1,0.005,8,0.036822,1246.47,9.62538e-05
1,0.005,9,0.0375477,1132.39,9.68367e-05
1,0.005,10,0.0378924,1274.31,9.71158e-05
1,0.006,1,0.0359575,1541.43,9.60516e-05
1,0.006,2,0.0378086,1521.83,9.70595e-05
1,0.006,3,0.0364375,1642.45,9.65129e-05
1,0.006,4,0.0373967,1640.96,9.67152e-05
1,0.006,5,0.0370799,1660.87,9.65886e-05
1,0.006,6,0.0357422,1824.24,9.6221e-05
1,0.006,7,0.0382704,1496.19,9.64927e-05
1,0.006,8,0.0384549,1592.26,9.72801e-05
1,0.006,9,0.0362622,1640.93,9.62174e-05
1,0.006,10,0.0389661,1605.88,9.76279e-05
1,0.007,1,0.037941,1968.97,9.70759e-05
1,0.007,2,0.0368342,2164.72,9.6567e-05
1,0.007,3,0.0376155,1954.53,9.66462e-05
1,0.007,4,0.0381467,1835.31,9.71253e-05
1,0.007,5,0.0361506,2154,9.63344e-05
1,0.007,6,0.0358155,2137.6,9.6196e-05
1,0.007,7,0.0369423,1977.41,9.67263e-05
1,0.007,8,0.0367769,2077.53,9.64913e-05
1,0.007,9,0.0369379,1979.93,9.64047e-05
1,0.007,10,0.0371992,1977.72,9.68408e-05
1,0.008,1,0.0369796,2278.57,9.65404e-05
1,0.008,2,0.0360525,2256.86,9.63308e-05
1,0.008,3,0.0366207,2202.89,9.67103e-05
1,0.008,4,0.0372335,2172.79,9.67448e-05
1,0.008,5,0.0361424,2434.67,9.64386e-05
1,0.008,6,0.0379813,2115.3,9.72997e-05
1,0.008,7,0.0376966,2057.23,9.71808e-05
1,0.008,8,0.0388919,2185.79,9.75713e-05
1,0.008,9,0.0375916,2351.33,9.66489e-05
1,0.008,10,0.0361832,2437.34,9.62863e-05
1,0.009,1,0.0381458,2576.61,9.73113e-05
1,0.009,2,0.035428,2538.81,9.59248e-05
