VC,PIR,Avg_IP_Throughput_flits_cycle_IP,Avg_Global_Avg_Delay_cycles,Avg_Total_Energy_J,Valid_Runs
8,0.009,3.7974820000e-02,2477.079000,6.3326650000e-04,10
4,0.001,1.1947020000e-02,43.302090,3.1644990000e-04,10
4,0.002,2.3980000000e-02,58.434140,3.2072670000e-04,10
4,0.003,3.3788330000e-02,299.394700,3.2439440000e-04,10
4,0.004,3.5927260000e-02,899.641000,3.2577760000e-04,10
4,0.005,3.5609110000e-02,1401.799000,3.2590650000e-04,10
4,0.006,3.6393610000e-02,1826.110000,3.2626200000e-04,10
4,0.007,3.6626880000e-02,2154.541000,3.2657480000e-04,10
4,0.008,3.7253250000e-02,2383.815000,3.2663010000e-04,10
4,0.009,3.7121210000e-02,2703.362000,3.2669890000e-04,10
4,0.010,3.7251820000e-02,2847.251000,3.2677670000e-04,10
12,0.010,3.9084540000e-02,2562.182000,9.3979340000e-04,10
8,0.010,3.8779920000e-02,2666.452000,6.3357040000e-04,10
16,0.010,4.0245010000e-02,2442.852000,1.2464280000e-03,10
16,0.001,1.1934110000e-02,43.039570,1.2345100000e-03,10
16,0.002,2.3985470000e-02,58.280690,1.2387510000e-03,10
16,0.003,3.2483510000e-02,325.199400,1.2424610000e-03,10
16,0.004,3.5326220000e-02,720.440400,1.2440630000e-03,10
16,0.005,3.6626080000e-02,1124.688000,1.2447630000e-03,10
16,0.006,3.8278530000e-02,1407.588000,1.2456120000e-03,10
16,0.007,3.8595880000e-02,1784.445000,1.2457570000e-03,10
16,0.008,3.8820530000e-02,2006.458000,1.2458740000e-03,10
16,0.009,3.9161070000e-02,2264.818000,1.2459860000e-03,10
1,0.001,1.1997750000e-02,43.058770,8.6961170000e-05,10
1,0.002,2.3997620000e-02,57.966380,9.1301380000e-05,10
1,0.003,3.3669750000e-02,314.846900,9.4842630000e-05,10
1,0.004,3.5874790000e-02,839.387000,9.5913320000e-05,10
1,0.005,3.6915780000e-02,1284.852000,9.6517220000e-05,10
12,0.001,1.2035980000e-02,42.670170,9.2851780000e-04,10
1,0.006,3.7237600000e-02,1616.704000,9.6676690000e-05,10
12,0.002,2.4045820000e-02,58.227130,9.3273720000e-04,10
1,0.007,3.7035980000e-02,2022.772000,9.6640790000e-05,10
12,0.003,3.2970220000e-02,307.836300,9.3653460000e-04,10
1,0.008,3.7137330000e-02,2249.277000,9.6775190000e-05,10
1,0.009,3.6781420000e-02,2574.463000,9.6639890000e-05,10
12,0.004,3.5622320000e-02,770.183800,9.3800240000e-04,10
12,0.005,3.5908680000e-02,1231.590000,9.3843570000e-04,10
12,0.006,3.6849400000e-02,1567.079000,9.3893170000e-04,10
1,0.010,3.6731930000e-02,2774.915000,9.6635780000e-05,10
12,0.007,3.7513880000e-02,1847.082000,9.3919270000e-04,10
12,0.008,3.8051650000e-02,2172.961000,9.3939830000e-04,10
12,0.009,3.8229950000e-02,2352.344000,9.3945600000e-04,10
8,0.001,1.1974300000e-02,42.976420,6.2245230000e-04,10
8,0.002,2.3971530000e-02,57.655090,6.2683940000e-04,10
8,0.003,3.3218280000e-02,308.627100,6.3046150000e-04,10
8,0.004,3.5230960000e-02,851.946900,6.3166130000e-04,10
8,0.005,3.5554770000e-02,1347.014000,6.3213190000e-04,10
8,0.006,3.7025440000e-02,1649.538000,6.3280800000e-04,10
8,0.007,3.7376210000e-02,2003.150000,6.3293030000e-04,10
8,0.008,3.7613850000e-02,2288.267000,6.3306320000e-04,10
