VC,PIR,Run,Total_Received_Packets,Received_Ideal_Flits_Ratio,Energy_J
8,0.001,1,2193,0.952799,0.000621344
8,0.001,2,2198,0.951895,0.000621409
8,0.001,3,2281,0.988607,0.000621364
8,0.001,4,2325,1.00944,0.000621504
8,0.001,5,2371,1.02988,0.000621591
8,0.001,6,2314,1.00459,0.000621599
8,0.001,7,2254,0.979528,0.000621324
8,0.001,8,2303,1.00033,0.000621491
8,0.001,9,2297,0.996021,0.000621171
8,0.001,10,2397,1.03946,0.000621499
8,0.002,1,4584,0.994285,0.00062457
8,0.002,2,4562,0.989059,0.000624739
8,0.002,3,4617,1.00184,0.000624512
8,0.002,4,4698,1.01886,0.000624854
8,0.002,5,4544,0.985749,0.000624576
8,0.002,6,4623,1.00421,0.000624496
8,0.002,7,4540,0.985605,0.000624423
8,0.002,8,4618,1.00168,0.00062465
8,0.002,9,4612,1.00031,0.000624872
8,0.002,10,4655,1.0106,0.000624807
8,0.003,1,6870,0.993731,0.000627888
8,0.003,2,6822,0.986642,0.000627737
8,0.003,3,6844,0.98939,0.000627899
8,0.003,4,6939,1.00405,0.00062774
8,0.003,5,6900,0.998831,0.000628128
8,0.003,6,6939,1.00241,0.00062805
8,0.003,7,6776,0.981072,0.000627816
8,0.003,8,6857,0.992742,0.000628004
8,0.003,9,6926,1.00301,0.000627896
8,0.003,10,7020,1.01488,0.000627812
8,0.004,1,9302,1.00911,0.000631689
8,0.004,2,9118,0.989846,0.000631153
8,0.004,3,9198,0.998056,0.00063119
8,0.004,4,9082,0.985966,0.000630642
8,0.004,5,9134,0.99094,0.000631272
8,0.004,6,9284,1.00742,0.000631387
8,0.004,7,9023,0.978543,0.000631038
8,0.004,8,9171,0.995045,0.000631285
8,0.004,9,9033,0.98074,0.000630777
8,0.004,10,9155,0.993797,0.000631176
8,0.005,1,11579,1.00528,0.000634342
8,0.005,2,11509,0.99707,0.000634412
8,0.005,3,11554,1.00233,0.000634446
8,0.005,4,11485,0.997598,0.000634003
8,0.005,5,11423,0.991739,0.000633986
8,0.005,6,11631,1.00839,0.000634489
8,0.005,7,11383,0.988889,0.000634537
8,0.005,8,11469,0.994777,0.000634482
8,0.005,9,11506,0.999219,0.000634338
8,0.005,10,11486,0.997989,0.000634425
8,0.006,1,13752,0.994954,0.000637234
8,0.006,2,13756,0.99449,0.000637512
8,0.006,3,13767,0.995985,0.000637446
8,0.006,4,13754,0.994394,0.000637162
8,0.006,5,13612,0.983989,0.000637261
8,0.006,6,13729,0.992591,0.000637164
8,0.006,7,13734,0.992579,0.000637008
8,0.006,8,13629,0.986099,0.000637222
8,0.006,9,13888,1.00541,0.000637228
8,0.006,10,13887,1.00443,0.000637441
8,0.007,1,15209,0.942155,0.000638811
8,0.007,2,15128,0.937593,0.000638895
8,0.007,3,15169,0.939768,0.000638981
8,0.007,4,14951,0.926468,0.000638463
8,0.007,5,14726,0.912704,0.000638562
8,0.007,6,14869,0.922593,0.000638952
8,0.007,7,15108,0.936048,0.000639032
8,0.007,8,15066,0.93332,0.00063868
8,0.007,9,15059,0.93424,0.000639054
8,0.007,10,15440,0.957641,0.000638935
8,0.008,1,15100,0.820444,0.000639186
8,0.008,2,15331,0.831882,0.000639409
8,0.008,3,15329,0.832316,0.000639255
8,0.008,4,15399,0.83643,0.00063923
8,0.008,5,15220,0.825082,0.000639269
8,0.008,6,15415,0.835874,0.000639396
8,0.008,7,15183,0.824725,0.000639259
8,0.008,8,15306,0.830286,0.000639415
8,0.008,9,15497,0.841367,0.000639323
8,0.008,10,15450,0.839247,0.00063946
8,0.009,1,15063,0.726036,0.000639049
8,0.009,2,15493,0.747749,0.000639732
8,0.009,3,15334,0.740484,0.000639452
8,0.009,4,15127,0.730577,0.000639216
8,0.009,5,15271,0.737128,0.00063945
8,0.009,6,15259,0.736107,0.000639641
8,0.009,7,15705,0.757005,0.000639761
8,0.009,8,15788,0.761992,0.000639856
8,0.009,9,14706,0.709495,0.000639202
8,0.009,10,15525,0.749208,0.000639661
8,0.01,1,15343,0.666171,0.00063944
8,0.01,2,15689,0.681814,0.000639846
8,0.01,3,15350,0.666399,0.000639378
8,0.01,4,15129,0.657284,0.000639334
8,0.01,5,15214,0.661093,0.00063958
8,0.01,6,15319,0.666211,0.000639781
8,0.01,7,14937,0.649172,0.000639401
8,0.01,8,15421,0.669282,0.000639935
8,0.01,9,15451,0.671398,0.000639411
8,0.01,10,14968,0.650373,0.000639412
