VC,PIR,Avg_Total_Received_Packets,Avg_Received_Ideal_Flits_Ratio,Avg_Energy_J,Valid_Runs
8,0.001,2298.70000000,.99786000,.0006224523,10
8,0.002,4604.90000000,.99881300,.0006268394,10
8,0.003,6382.00000000,.92272980,.0006304615,10
8,0.004,6764.00000000,.73397800,.0006316613,10
8,0.005,6818.80000000,.59257950,.0006321319,10
8,0.006,7091.70000000,.51424220,.0006328080,10
8,0.007,7157.30000000,.44495470,.0006329303,10
8,0.008,7199.20000000,.39181090,.0006330632,10
8,0.009,7266.20000000,.35161870,.0006332665,10
8,0.01,7420.70000000,.32316580,.0006335704,10
