VC,PIR,Run,Avg_IP_Throughput_flits_cycle_IP,Global_Avg_Delay_cycles,Total_Energy_J
1,0.001,1,0.0118207,28.0062,8.59436e-05
1,0.001,2,0.0118177,28.0741,8.5918e-05
1,0.001,3,0.0116471,28.4154,8.56924e-05
1,0.001,4,0.0121137,27.9085,8.58963e-05
1,0.001,5,0.012668,28.2184,8.60776e-05
1,0.001,6,0.0121181,27.773,8.59533e-05
1,0.001,7,0.0116298,27.2611,8.56856e-05
1,0.001,8,0.0118576,28.1264,8.59482e-05
1,0.001,9,0.0118746,27.5816,8.57238e-05
1,0.001,10,0.0123802,28.162,8.58912e-05
1,0.002,1,0.023931,32.3478,8.91023e-05
1,0.002,2,0.0231276,32.8576,8.92178e-05
1,0.002,3,0.0238637,32.7111,8.92467e-05
1,0.002,4,0.0241137,33.1121,8.9391e-05
1,0.002,5,0.0243329,32.0098,8.90156e-05
1,0.002,6,0.0237934,32.2836,8.91241e-05
1,0.002,7,0.0242891,32.3663,8.92417e-05
1,0.002,8,0.023316,32.152,8.89888e-05
1,0.002,9,0.0237956,32.6024,8.91429e-05
1,0.002,10,0.0245616,32.436,8.93682e-05
1,0.003,1,0.0359054,38.4624,9.23646e-05
1,0.003,2,0.0360417,39.448,9.2628e-05
1,0.003,3,0.0358702,38.9125,9.21538e-05
1,0.003,4,0.0357587,38.6858,9.23448e-05
1,0.003,5,0.0361359,39.2102,9.23056e-05
1,0.003,6,0.0361897,38.5019,9.2342e-05
1,0.003,7,0.0360282,39.8007,9.24389e-05
1,0.003,8,0.0359345,39.5375,9.254e-05
1,0.003,9,0.0358772,38.5213,9.22759e-05
1,0.003,10,0.0366476,39.9103,9.25641e-05
1,0.004,1,0.0475512,50.2306,9.57611e-05
1,0.004,2,0.0483754,50.2514,9.54289e-05
1,0.004,3,0.0475955,52.9302,9.53816e-05
1,0.004,4,0.0475395,49.6862,9.53189e-05
1,0.004,5,0.0481263,50.8461,9.57575e-05
1,0.004,6,0.0478207,49.4446,9.5521e-05
1,0.004,7,0.0472439,49.6032,9.54037e-05
1,0.004,8,0.048003,52.7492,9.57722e-05
1,0.004,9,0.0485213,51.2178,9.58448e-05
