VC,PIR,Avg_IP_Throughput_flits_cycle_IP,Avg_Global_Avg_Delay_cycles,Avg_Total_Energy_J,Valid_Runs
8,0.009,7.9874420000e-02,1178.580000,6.3950200000e-04,10
4,0.001,1.1969760000e-02,27.305620,3.1539290000e-04,10
4,0.002,2.3876010000e-02,31.688400,3.1869410000e-04,10
4,0.003,3.5998130000e-02,38.220230,3.2186930000e-04,10
4,0.004,4.7644110000e-02,48.843830,3.2509850000e-04,10
4,0.005,5.9649510000e-02,71.311870,3.2818870000e-04,10
4,0.006,7.1561500000e-02,132.941400,3.3122250000e-04,10
4,0.007,7.8431290000e-02,426.383000,3.3302590000e-04,10
4,0.008,7.8810220000e-02,872.354600,3.3331180000e-04,10
4,0.009,7.9064830000e-02,1271.174000,3.3355350000e-04,10
4,0.010,7.9102950000e-02,1613.381000,3.3366280000e-04,10
12,0.010,8.0386460000e-02,1478.585000,9.4552770000e-04,10
8,0.010,7.9670350000e-02,1554.517000,6.3955180000e-04,10
16,0.010,8.0123880000e-02,1457.978000,1.2513440000e-03,10
16,0.001,1.2028800000e-02,26.916650,1.2334850000e-03,10
16,0.002,2.3925090000e-02,30.662530,1.2366920000e-03,10
16,0.003,3.6009590000e-02,36.606340,1.2399220000e-03,10
16,0.004,4.7968650000e-02,46.961860,1.2431480000e-03,10
16,0.005,5.9882520000e-02,67.876720,1.2463480000e-03,10
16,0.006,7.1306670000e-02,136.118100,1.2491980000e-03,10
16,0.007,7.8844560000e-02,365.249600,1.2506440000e-03,10
16,0.008,7.9805420000e-02,750.313100,1.2511030000e-03,10
16,0.009,8.0109410000e-02,1128.669000,1.2511930000e-03,10
1,0.001,1.1992750000e-02,27.952670,8.5873000000e-05,10
1,0.002,2.3912460000e-02,32.487870,8.9183910000e-05,10
1,0.003,3.6038910000e-02,39.099060,9.2395770000e-05,10
1,0.004,4.7869650000e-02,50.746700,9.5585110000e-05,10
1,0.005,5.9662890000e-02,75.379090,9.8679160000e-05,10
12,0.001,1.2017610000e-02,27.107350,9.2748670000e-04,10
1,0.006,7.0734690000e-02,205.986600,1.0169260000e-04,10
12,0.002,2.3898460000e-02,30.586060,9.3057460000e-04,10
1,0.007,7.5072700000e-02,535.280100,1.0293170000e-04,10
12,0.003,3.5949410000e-02,36.649870,9.3390580000e-04,10
1,0.008,7.6234200000e-02,920.700700,1.0333060000e-04,10
1,0.009,7.5573510000e-02,1270.743000,1.0330290000e-04,10
12,0.004,4.7797320000e-02,46.439440,9.3705440000e-04,10
12,0.005,5.9592700000e-02,69.193030,9.4032090000e-04,10
12,0.006,7.1440820000e-02,131.559400,9.4321820000e-04,10
1,0.010,7.5782850000e-02,1569.138000,1.0335080000e-04,10
12,0.007,7.8886510000e-02,373.873500,9.4486460000e-04,10
12,0.008,8.0231170000e-02,758.609900,9.4521450000e-04,10
12,0.009,8.0804000000e-02,1145.920000,9.4552220000e-04,10
8,0.001,1.1943050000e-02,26.880790,6.2142960000e-04,10
8,0.002,2.3981290000e-02,30.864530,6.2464990000e-04,10
8,0.003,3.5880340000e-02,37.218720,6.2789700000e-04,10
8,0.004,4.7661430000e-02,47.725920,6.3116090000e-04,10
8,0.005,5.9899680000e-02,70.251900,6.3434600000e-04,10
8,0.006,7.1603420000e-02,131.795900,6.3726780000e-04,10
8,0.007,7.8477250000e-02,403.059700,6.3883650000e-04,10
8,0.008,7.9849480000e-02,795.202700,6.3932020000e-04,10
