VC,PIR,Run,Total_Received_Packets,Received_Ideal_Flits_Ratio,Energy_J
8,0.001,1,2263,0.980794,0.000236718
8,0.001,2,2251,0.976237,0.000236689
8,0.001,3,2295,0.995298,0.000236727
8,0.001,4,2329,1.00966,0.000236764
8,0.001,5,2314,1.00517,0.000236762
8,0.001,6,2244,0.976165,0.000236718
8,0.001,7,2329,1.01107,0.000236769
8,0.001,8,2312,1.00376,0.00023677
8,0.001,9,2372,1.02872,0.000236771
8,0.001,10,2343,1.01667,0.000236779
8,0.002,1,4581,0.995135,0.000238463
8,0.002,2,4552,0.98716,0.000238437
8,0.002,3,4672,1.01342,0.000238523
8,0.002,4,4520,0.981644,0.000238446
8,0.002,5,4534,0.98329,0.000238448
8,0.002,6,4662,1.01177,0.000238538
8,0.002,7,4531,0.985189,0.000238452
8,0.002,8,4514,0.978534,0.000238452
8,0.002,9,4692,1.0194,0.000238557
8,0.002,10,4607,1.00118,0.00023851
8,0.003,1,6486,0.937741,0.000240131
8,0.003,2,6560,0.946325,0.000240175
8,0.003,3,6494,0.939369,0.000240072
8,0.003,4,6231,0.901705,0.000239977
8,0.003,5,6408,0.92507,0.000240099
8,0.003,6,6247,0.902621,0.000240003
8,0.003,7,6304,0.91141,0.000239972
8,0.003,8,6403,0.924057,0.000240126
8,0.003,9,6522,0.942527,0.000240113
8,0.003,10,6527,0.942371,0.000240232
8,0.004,1,6727,0.73008,0.000240677
8,0.004,2,6757,0.732982,0.000240666
8,0.004,3,6805,0.739448,0.000240712
8,0.004,4,6616,0.717873,0.0002406
8,0.004,5,6722,0.729194,0.000240627
8,0.004,6,6858,0.744195,0.000240732
8,0.004,7,6807,0.737513,0.000240718
8,0.004,8,6579,0.714817,0.000240569
8,0.004,9,6780,0.735406,0.000240683
8,0.004,10,6951,0.75585,0.000240827
8,0.005,1,7121,0.618555,0.000241132
8,0.005,2,6954,0.604666,0.000240998
8,0.005,3,6689,0.581525,0.000240769
8,0.005,4,6893,0.599523,0.000240975
8,0.005,5,7088,0.615936,0.000241077
8,0.005,6,6956,0.603602,0.000241
8,0.005,7,7042,0.611552,0.000241021
8,0.005,8,6728,0.585887,0.000240881
8,0.005,9,7200,0.625354,0.000241144
8,0.005,10,7149,0.620949,0.000241164
8,0.006,1,6879,0.498746,0.000241018
8,0.006,2,7177,0.519628,0.000241189
8,0.006,3,7232,0.525156,0.000241323
8,0.006,4,7103,0.515426,0.000241147
8,0.006,5,7234,0.524703,0.000241316
8,0.006,6,7072,0.512533,0.000241177
8,0.006,7,6870,0.496847,0.000240975
8,0.006,8,6620,0.480185,0.000240799
8,0.006,9,6911,0.501115,0.000241025
8,0.006,10,7079,0.512448,0.000241157
8,0.007,1,7328,0.4553,0.000241427
8,0.007,2,7134,0.444031,0.000241295
8,0.007,3,7039,0.437112,0.00024115
8,0.007,4,7489,0.464281,0.000241519
8,0.007,5,7145,0.44509,0.000241279
8,0.007,6,7069,0.439587,0.000241223
8,0.007,7,7440,0.462911,0.000241478
8,0.007,8,7278,0.452422,0.00024139
8,0.007,9,7080,0.440089,0.000241222
8,0.007,10,6889,0.428334,0.000241122
8,0.008,1,7301,0.396959,0.000241416
8,0.008,2,7087,0.385973,0.000241286
8,0.008,3,7373,0.401055,0.000241434
8,0.008,4,7303,0.397854,0.000241458
8,0.008,5,7049,0.383997,0.000241222
8,0.008,6,7096,0.386588,0.000241256
8,0.008,7,6999,0.380394,0.000241179
8,0.008,8,7451,0.405034,0.000241503
8,0.008,9,7392,0.401553,0.000241472
8,0.008,10,7244,0.394884,0.000241377
8,0.009,1,7547,0.365307,0.000241685
8,0.009,2,7479,0.3613,0.000241571
8,0.009,3,7325,0.353793,0.000241463
8,0.009,4,7224,0.349497,0.000241379
8,0.009,5,7634,0.369426,0.000241685
8,0.009,6,7330,0.35409,0.000241469
8,0.009,7,6961,0.336621,0.000241178
8,0.009,8,7631,0.369121,0.000241699
8,0.009,9,7307,0.353274,0.000241418
8,0.009,10,7499,0.36296,0.000241583
8,0.01,1,7389,0.321803,0.000241549
8,0.01,2,7307,0.318037,0.00024143
8,0.01,3,7316,0.318421,0.000241477
8,0.01,4,7291,0.317202,0.000241444
8,0.01,5,7281,0.318063,0.000241495
8,0.01,6,7457,0.324023,0.00024157
8,0.01,7,7315,0.31816,0.000241422
8,0.01,8,7325,0.318511,0.000241462
8,0.01,9,7034,0.306189,0.000241192
8,0.01,10,7459,0.324895,0.000241565
