VC,PIR,Avg_Total_Received_Packets,Avg_Received_Ideal_Flits_Ratio,Avg_Energy_J,Valid_Runs
8,0.001,2305.20000000,1.00035440,.0002367467,10
8,0.002,4586.50000000,.99567220,.0002384826,10
8,0.003,6418.20000000,.92731960,.0002400900,10
8,0.004,6760.20000000,.73373580,.0002406811,10
8,0.005,6982.00000000,.60675490,.0002410161,10
8,0.006,7017.70000000,.50867870,.0002411126,10
8,0.007,7189.10000000,.44691570,.0002413105,10
8,0.008,7229.50000000,.39342910,.0002413603,10
8,0.009,7393.70000000,.35753890,.0002415130,10
8,0.01,7317.40000000,.31853040,.0002414606,10
