VC,PIR,Run,Total_Received_Packets,Received_Ideal_Flits_Ratio,Energy_J
8,0.001,1,2239,0.972403,0.000236067
8,0.001,2,2233,0.967122,0.000236053
8,0.001,3,2295,0.995334,0.000236088
8,0.001,4,2351,1.01888,0.000236117
8,0.001,5,2382,1.03454,0.000236147
8,0.001,6,2325,1.00933,0.000236113
8,0.001,7,2244,0.973199,0.000236072
8,0.001,8,2295,0.996166,0.000236122
8,0.001,9,2325,1.00857,0.00023611
8,0.001,10,2378,1.03248,0.000236132
8,0.002,1,4597,0.997106,0.000237214
8,0.002,2,4594,0.9966,0.000237194
8,0.002,3,4575,0.992097,0.000237182
8,0.002,4,4618,1.00282,0.00023721
8,0.002,5,4617,1.00233,0.000237192
8,0.002,6,4551,0.988227,0.000237173
8,0.002,7,4644,1.00801,0.000237196
8,0.002,8,4517,0.980161,0.000237172
8,0.002,9,4567,0.988715,0.000237203
8,0.002,10,4637,1.0049,0.00023724
8,0.003,1,6867,0.994478,0.000238293
8,0.003,2,6826,0.986208,0.000238268
8,0.003,3,6948,1.00383,0.0002383
8,0.003,4,6886,0.995539,0.000238327
8,0.003,5,6877,0.995431,0.00023832
8,0.003,6,7058,1.02076,0.000238356
8,0.003,7,6863,0.994213,0.000238293
8,0.003,8,6873,0.994442,0.00023832
8,0.003,9,6997,1.01204,0.000238285
8,0.003,10,6920,1.00123,0.000238286
8,0.004,1,9176,0.995678,0.00023941
8,0.004,2,9187,0.996374,0.000239434
8,0.004,3,9264,1.00422,0.000239426
8,0.004,4,9130,0.990451,0.000239385
8,0.004,5,9294,1.00913,0.000239518
8,0.004,6,9290,1.00795,0.000239425
8,0.004,7,9083,0.985406,0.000239363
8,0.004,8,9155,0.993625,0.000239419
8,0.004,9,9302,1.01055,0.000239497
8,0.004,10,9125,0.989276,0.000239422
8,0.005,1,11349,0.985438,0.000240461
8,0.005,2,11430,0.991529,0.000240478
8,0.005,3,11576,1.00529,0.000240572
8,0.005,4,11574,1.00501,0.000240537
8,0.005,5,11347,0.985315,0.000240514
8,0.005,6,11551,1.00273,0.000240537
8,0.005,7,11568,1.00311,0.000240536
8,0.005,8,11416,0.990697,0.000240461
8,0.005,9,11500,0.997721,0.000240488
8,0.005,10,11629,1.01015,0.000240584
8,0.006,1,13771,0.994551,0.000241646
8,0.006,2,13653,0.987045,0.000241574
8,0.006,3,13675,0.988131,0.000241593
8,0.006,4,13812,0.999253,0.000241633
8,0.006,5,13670,0.988317,0.000241612
8,0.006,6,13777,0.996618,0.000241657
8,0.006,7,13618,0.984068,0.000241612
8,0.006,8,13620,0.984905,0.000241606
8,0.006,9,13772,0.994966,0.000241609
8,0.006,10,13931,1.0073,0.000241766
8,0.007,1,14807,0.917881,0.000242354
8,0.007,2,15037,0.932033,0.000242466
8,0.007,3,14808,0.916388,0.000242375
8,0.007,4,14700,0.910688,0.000242299
8,0.007,5,14892,0.922314,0.0002424
8,0.007,6,14879,0.92188,0.000242383
8,0.007,7,14835,0.917953,0.000242312
8,0.007,8,14944,0.925321,0.000242388
8,0.007,9,15044,0.93225,0.000242445
8,0.007,10,14238,0.881867,0.000242125
8,0.008,1,14894,0.808268,0.000242553
8,0.008,2,14909,0.808268,0.000242598
8,0.008,3,15151,0.822338,0.00024262
8,0.008,4,14853,0.806767,0.000242538
8,0.008,5,14759,0.800379,0.000242503
8,0.008,6,15260,0.826371,0.000242661
8,0.008,7,15265,0.826922,0.000242724
8,0.008,8,15056,0.816587,0.000242662
8,0.008,9,15182,0.822541,0.000242703
8,0.008,10,15043,0.815054,0.000242619
8,0.009,1,14970,0.721696,0.000242647
8,0.009,2,14936,0.719582,0.000242704
8,0.009,3,14977,0.722556,0.000242739
8,0.009,4,15236,0.734837,0.00024273
8,0.009,5,15167,0.730939,0.000242806
8,0.009,6,15196,0.732707,0.000242802
8,0.009,7,14759,0.711693,0.000242617
8,0.009,8,15228,0.733901,0.000242838
8,0.009,9,14711,0.70933,0.000242558
8,0.009,10,15149,0.730859,0.000242771
8,0.01,1,14689,0.637909,0.000242599
8,0.01,2,15123,0.656941,0.000242809
8,0.01,3,14935,0.648105,0.000242699
8,0.01,4,14997,0.651161,0.000242766
8,0.01,5,14892,0.646593,0.000242699
8,0.01,6,14944,0.648571,0.000242717
8,0.01,7,15086,0.654792,0.000242773
8,0.01,8,14896,0.647378,0.000242772
8,0.01,9,15108,0.655367,0.000242762
8,0.01,10,15176,0.658597,0.000242846
