VC,PIR,Avg_Total_Received_Packets,Avg_Received_Ideal_Flits_Ratio,Avg_Energy_J,Valid_Runs
8,0.001,2306.70000000,1.00080240,.0002361021,10
8,0.002,4591.70000000,.99609660,.0002371976,10
8,0.003,6911.50000000,.99981710,.0002383048,10
8,0.004,9200.60000000,.99826600,.0002394299,10
8,0.005,11494.00000000,.99769900,.0002405168,10
8,0.006,13729.90000000,.99251540,.0002416308,10
8,0.007,14818.40000000,.91785750,.0002423547,10
8,0.008,15037.20000000,.81534950,.0002426181,10
8,0.009,15032.90000000,.72481000,.0002427212,10
8,0.01,14984.60000000,.65054140,.0002427442,10
