VC,PIR,Run,Throughput_flits_cycle_IP,Delay_cycles,Energy_J
8,0.001,1,0.0117695,43.4423,0.000236718
8,0.001,2,0.0117148,43.052,0.000236689
8,0.001,3,0.0119436,42.9111,0.000236727
8,0.001,4,0.0121159,42.9991,0.000236764
8,0.001,5,0.0120621,44.057,0.000236762
8,0.001,6,0.011714,43.041,0.000236718
8,0.001,7,0.0121328,43.3478,0.000236769
8,0.001,8,0.0120451,43.5999,0.00023677
8,0.001,9,0.0123446,43.6501,0.000236771
8,0.001,10,0.0122001,43.5493,0.000236779
8,0.002,1,0.0238832,58.8007,0.000238463
8,0.002,2,0.0236918,59.0059,0.000238437
8,0.002,3,0.024322,59.4131,0.000238523
8,0.002,4,0.0235595,58.8239,0.000238446
8,0.002,5,0.023599,59.1312,0.000238448
8,0.002,6,0.0242826,60.9831,0.000238538
8,0.002,7,0.0236445,62.136,0.000238452
8,0.002,8,0.0234848,59.4187,0.000238452
8,0.002,9,0.0244657,65.2338,0.000238557
8,0.002,10,0.0240282,59.7371,0.00023851
8,0.003,1,0.0337587,367.749,0.000240131
8,0.003,2,0.0340677,350.216,0.000240175
8,0.003,3,0.0338173,265.732,0.000240072
8,0.003,4,0.0324614,423.977,0.000239977
8,0.003,5,0.0333025,410.346,0.000240099
8,0.003,6,0.0324944,386.237,0.000240003
8,0.003,7,0.0328108,310.821,0.000239972
8,0.003,8,0.0332661,413.62,0.000240126
8,0.003,9,0.033931,335.201,0.000240113
8,0.003,10,0.0339253,438.176,0.000240232
8,0.004,1,0.0350438,955.777,0.000240677
8,0.004,2,0.0351832,962.83,0.000240666
8,0.004,3,0.0354935,997.577,0.000240712
8,0.004,4,0.0344579,1018.81,0.0002406
8,0.004,5,0.0350013,973.409,0.000240627
8,0.004,6,0.0357214,952.797,0.000240732
8,0.004,7,0.0354006,960.364,0.000240718
8,0.004,8,0.0343112,920.936,0.000240569
8,0.004,9,0.0352995,893.673,0.000240683
8,0.004,10,0.0362808,862.828,0.000240827
8,0.005,1,0.0371133,1341.94,0.000241132
8,0.005,2,0.0362799,1557.78,0.000240998
8,0.005,3,0.0348915,1370.68,0.000240769
8,0.005,4,0.0359714,1515.22,0.000240975
8,0.005,5,0.0369562,1468.01,0.000241077
8,0.005,6,0.0362161,1263.97,0.000241
8,0.005,7,0.0366931,1330.37,0.000241021
8,0.005,8,0.0351532,1576.1,0.000240881
8,0.005,9,0.0375213,1343.84,0.000241144
8,0.005,10,0.0372569,1391.11,0.000241164
8,0.006,1,0.0359097,1828.62,0.000241018
8,0.006,2,0.0374132,1726.71,0.000241189
8,0.006,3,0.0378112,1723.65,0.000241323
8,0.006,4,0.0371107,1862.98,0.000241147
8,0.006,5,0.0377786,1824.09,0.000241316
8,0.006,6,0.0369023,1894.03,0.000241177
8,0.006,7,0.035773,1853.31,0.000240975
8,0.006,8,0.0345734,1782.61,0.000240799
8,0.006,9,0.0360803,1886.87,0.000241025
8,0.006,10,0.0368963,1949.16,0.000241157
8,0.007,1,0.0382452,2275.7,0.000241427
8,0.007,2,0.0372986,2207.36,0.000241295
8,0.007,3,0.0367174,2061.5,0.00024115
8,0.007,4,0.0389996,2217.8,0.000241519
8,0.007,5,0.0373876,2124.41,0.000241279
8,0.007,6,0.0369253,2259.45,0.000241223
8,0.007,7,0.0388845,2037.56,0.000241478
8,0.007,8,0.0380035,2264.55,0.00024139
8,0.007,9,0.0369674,2177.89,0.000241222
8,0.007,10,0.03598,2246.95,0.000241122
8,0.008,1,0.0381081,2420.19,0.000241416
8,0.008,2,0.0370534,2486.14,0.000241286
8,0.008,3,0.0385013,2478.59,0.000241434
8,0.008,4,0.038194,2587,0.000241458
8,0.008,5,0.0368637,2481.8,0.000241222
8,0.008,6,0.0371124,2322.3,0.000241256
8,0.008,7,0.0365178,2380.83,0.000241179
8,0.008,8,0.0388832,2554.41,0.000241503
8,0.008,9,0.038549,2535.04,0.000241472
8,0.008,10,0.0379089,2454.18,0.000241377
8,0.009,1,0.0394531,2780.92,0.000241685
8,0.009,2,0.0390204,2704.37,0.000241571
8,0.009,3,0.0382096,2789.19,0.000241463
8,0.009,4,0.0377457,2701.79,0.000241379
8,0.009,5,0.039898,2767.84,0.000241685
8,0.009,6,0.0382418,2857.06,0.000241469
8,0.009,7,0.036355,2821.05,0.000241178
8,0.009,8,0.039865,2611.99,0.000241699
8,0.009,9,0.0381536,2756.8,0.000241418
8,0.009,10,0.0391997,2727.44,0.000241583
8,0.01,1,0.0386163,3012.62,0.000241549
