VC,PIR,Run,Throughput_flits_cycle_IP,Delay_cycles,Energy_J
8,0.001,1,0.0116688,25.7642,0.000236067
8,0.001,2,0.0116055,25.4926,0.000236053
8,0.001,3,0.011944,25.3743,0.000236088
8,0.001,4,0.0122266,25.5857,0.000236117
8,0.001,5,0.0124145,26.0848,0.000236147
8,0.001,6,0.012112,25.8082,0.000236113
8,0.001,7,0.0116784,25.295,0.000236072
8,0.001,8,0.011954,25.7913,0.000236122
8,0.001,9,0.0121029,25.9092,0.00023611
8,0.001,10,0.0123898,25.6695,0.000236132
8,0.002,1,0.0239306,29.3702,0.000237214
8,0.002,2,0.0239184,29.1197,0.000237194
8,0.002,3,0.0238103,28.6654,0.000237182
8,0.002,4,0.0240677,29.1654,0.00023721
8,0.002,5,0.024056,29.1235,0.000237192
8,0.002,6,0.0237174,28.8422,0.000237173
8,0.002,7,0.0241923,28.3981,0.000237196
8,0.002,8,0.0235239,28.9052,0.000237172
8,0.002,9,0.0237292,29.4839,0.000237203
8,0.002,10,0.0241176,29.8639,0.00023724
8,0.003,1,0.0358012,35.0655,0.000238293
8,0.003,2,0.0355035,34.546,0.000238268
8,0.003,3,0.036138,34.9352,0.0002383
8,0.003,4,0.0358394,35.201,0.000238327
8,0.003,5,0.0358355,35.4194,0.00023832
8,0.003,6,0.0367474,35.2798,0.000238356
8,0.003,7,0.0357917,34.3761,0.000238293
8,0.003,8,0.0357999,34.6969,0.00023832
8,0.003,9,0.0364336,34.1754,0.000238285
8,0.003,10,0.0360443,34.161,0.000238286
8,0.004,1,0.0477925,44.6058,0.00023941
8,0.004,2,0.047826,44.4301,0.000239434
8,0.004,3,0.0482027,43.8468,0.000239426
8,0.004,4,0.0475417,43.4651,0.000239385
8,0.004,5,0.0484384,45.8799,0.000239518
8,0.004,6,0.0483815,43.9718,0.000239425
8,0.004,7,0.0472995,43.7713,0.000239363
8,0.004,8,0.047694,43.7772,0.000239419
8,0.004,9,0.0485065,44.546,0.000239497
8,0.004,10,0.0474852,44.1038,0.000239422
8,0.005,1,0.0591263,64.4355,0.000240461
8,0.005,2,0.0594918,60.8361,0.000240478
8,0.005,3,0.0603173,68.3988,0.000240572
8,0.005,4,0.0603008,66.2529,0.000240537
8,0.005,5,0.0591189,64.7984,0.000240514
8,0.005,6,0.0601636,68.5004,0.000240537
8,0.005,7,0.0601866,62.4614,0.000240536
8,0.005,8,0.0594418,63.1548,0.000240461
8,0.005,9,0.0598633,62.6025,0.000240488
8,0.005,10,0.0606089,67.0562,0.000240584
8,0.006,1,0.0716076,151.087,0.000241646
8,0.006,2,0.0710673,128.585,0.000241574
8,0.006,3,0.0711454,134.972,0.000241593
8,0.006,4,0.0719462,120.336,0.000241633
8,0.006,5,0.0711589,181.618,0.000241612
8,0.006,6,0.0717565,169.506,0.000241657
8,0.006,7,0.0708529,125.361,0.000241612
8,0.006,8,0.0709132,121.842,0.000241606
8,0.006,9,0.0716376,150.49,0.000241609
8,0.006,10,0.0725256,152.106,0.000241766
8,0.007,1,0.077102,483.17,0.000242354
8,0.007,2,0.0782908,433.652,0.000242466
8,0.007,3,0.0769766,504.728,0.000242375
8,0.007,4,0.0764978,509.903,0.000242299
8,0.007,5,0.0774744,440.053,0.0002424
8,0.007,6,0.0774379,461.388,0.000242383
8,0.007,7,0.0771081,443.167,0.000242312
8,0.007,8,0.077727,491.469,0.000242388
8,0.007,9,0.078309,410.705,0.000242445
8,0.007,10,0.0740768,533.204,0.000242125
8,0.008,1,0.0775938,899.905,0.000242553
8,0.008,2,0.0775938,986.788,0.000242598
8,0.008,3,0.0789444,906.248,0.00024262
8,0.008,4,0.0774497,964.167,0.000242538
8,0.008,5,0.0768364,900.121,0.000242503
8,0.008,6,0.0793316,855.882,0.000242661
8,0.008,7,0.0793845,834.41,0.000242724
8,0.008,8,0.0783924,889.726,0.000242662
8,0.008,9,0.078964,886.286,0.000242703
8,0.008,10,0.0782452,937.478,0.000242619
8,0.009,1,0.0779431,1342.03,0.000242647
8,0.009,2,0.0777148,1345.78,0.000242704
8,0.009,3,0.078036,1403.19,0.000242739
8,0.009,4,0.0793624,1325.39,0.00024273
8,0.009,5,0.0789414,1273.1,0.000242806
8,0.009,6,0.0791324,1269.05,0.000242802
8,0.009,7,0.0768628,1333.71,0.000242617
8,0.009,8,0.0792613,1295.1,0.000242838
8,0.009,9,0.0766076,1335,0.000242558
8,0.009,10,0.0789327,1400.66,0.000242771
8,0.01,1,0.076549,1705.01,0.000242599
8,0.01,2,0.0788329,1624.93,0.000242809
8,0.01,3,0.0777726,1707.89,0.000242699
8,0.01,4,0.0781393,1681.99,0.000242766
8,0.01,5,0.0775911,1729.37,0.000242699
8,0.01,6,0.0778286,1635.63,0.000242717
8,0.01,7,0.0785751,1651.84,0.000242773
8,0.01,8,0.0776853,1654.67,0.000242772
8,0.01,9,0.0786441,1629.42,0.000242762
8,0.01,10,0.0790317,1639.24,0.000242846
