VC,PIR,Avg_Throughput_flits_cycle_IP,Avg_Delay_cycles,Avg_Energy_J,Valid_Runs
8,0.001,.01200965,25.677480,.0002361021,10
8,0.002,.02390634,29.093750,.0002371976,10
8,0.003,.03599345,34.785630,.0002383048,10
8,0.004,.04791680,44.239780,.0002394299,10
8,0.005,.05986193,64.849700,.0002405168,10
8,0.006,.07146112,143.590300,.0002416308,10
8,0.007,.07710004,471.143900,.0002423547,10
8,0.008,.07827358,906.101100,.0002426181,10
8,0.009,.07827945,1332.301000,.0002427212,10
8,0.01,.07806497,1665.999000,.0002427442,10
