VC,PIR,Run,Throughput_flits_cycle_IP,Delay_cycles,Energy_J,Wireless_Utilization
1,0.01,1,0.0747925,1595.41,0.000103236,0.206366
1,0.01,2,0.0760078,1564.34,0.000103366,0.203522
1,0.01,3,0.0757569,1531.03,0.000103482,0.206256
1,0.01,4,0.0758707,1524.74,0.000103217,0.202238
1,0.01,5,0.0770282,1571.94,0.000103553,0.202529
1,0.01,6,0.0762205,1505.95,0.000103491,0.205384
1,0.01,7,0.0750156,1703.75,0.000103153,0.204025
1,0.01,8,0.0753963,1573.23,0.000103469,0.208362
1,0.01,9,0.0755781,1537.4,0.000103074,0.200923
1,0.01,10,0.0761619,1583.59,0.000103467,0.205048
1,0.02,1,0.0760629,3363.86,0.000103507,0.204737
1,0.02,2,0.0753442,3425.59,0.000103401,0.206537
1,0.02,3,0.0754015,3326.59,0.000103362,0.207113
1,0.02,4,0.0762231,3344.01,0.000103266,0.202187
1,0.02,5,0.0757895,3466.06,0.000103275,0.203685
1,0.02,6,0.0755095,3396.06,0.000103302,0.204387
1,0.02,7,0.0765412,3393.01,0.000103354,0.201388
1,0.02,8,0.0746085,3357.02,0.0001031,0.205126
1,0.02,9,0.0743919,3386.98,0.000103494,0.211389
1,0.02,10,0.0755104,3503.24,0.000103439,0.205517
1,0.03,1,0.0737995,3969.22,0.000102994,0.206748
1,0.03,2,0.0760833,4067.35,0.000103592,0.205792
1,0.03,3,0.0755556,4087.71,0.000103414,0.206647
1,0.03,4,0.0746923,4156.25,0.000103151,0.205035
1,0.03,5,0.0754661,4112.7,0.000103616,0.208877
1,0.03,6,0.0765833,4102.92,0.000103657,0.205222
1,0.03,7,0.07477,4104.09,0.00010317,0.205114
1,0.03,8,0.0767669,4076.9,0.000103516,0.202931
1,0.03,9,0.0750221,4073.77,0.000103352,0.207014
1,0.03,10,0.0759154,4169.53,0.000103117,0.200987
1,0.04,1,0.0742279,4484.89,0.00010295,0.20348
1,0.04,2,0.076138,4426.3,0.000103669,0.207033
1,0.04,3,0.0746159,4371.35,0.000103121,0.206334
1,0.04,4,0.0756836,4427.04,0.000103238,0.202767
1,0.04,5,0.0756931,4460.72,0.000103331,0.204663
1,0.04,6,0.0758806,4441.91,0.00010317,0.201153
1,0.04,7,0.0751806,4419.17,0.000103465,0.207664
1,0.04,8,0.0749731,4440.65,0.000103327,0.206726
1,0.04,9,0.076572,4411.05,0.000103519,0.202992
1,0.04,10,0.0758776,4474.53,0.00010321,0.202251
