VC,PIR,Run,Avg_IP_Throughput_flits_cycle_IP,Network_Throughput_flits_cycle,Global_Avg_Delay_cycles,Max_Delay_cycles
4,0.01,1,0.0790434,20.2351,1594.31,6635
4,0.01,2,0.0783733,20.0636,1604.07,7278
4,0.01,3,0.0794666,20.3434,1624.52,8103
4,0.01,4,0.0788607,20.1883,1694.27,6854
4,0.01,5,0.0788585,20.1878,1611.02,7150
4,0.01,6,0.0792695,20.293,1557.23,6742
4,0.01,7,0.077977,19.9621,1541.01,7632
4,0.01,8,0.0788919,20.1963,1600.24,6974
4,0.01,9,0.0811393,20.7717,1659.08,7653
4,0.01,10,0.0791493,20.2622,1648.06,7011
4,0.02,1,0.0793242,20.307,3437.85,8633
4,0.02,2,0.0788151,20.1767,3447.62,8885
4,0.02,3,0.0775911,19.8633,3429.35,8638
4,0.02,4,0.0801124,20.5088,3410.26,8579
4,0.02,5,0.078921,20.2038,3502.03,9130
4,0.02,6,0.0788655,20.1896,3444.29,9000
4,0.02,7,0.0796997,20.4031,3447.32,8732
4,0.02,8,0.0789631,20.2146,3479.57,8824
4,0.02,9,0.0789518,20.2117,3473.73,8882
4,0.02,10,0.0791732,20.2683,3527.02,8421
4,0.03,1,0.0773911,19.8121,4105.14,9243
4,0.03,2,0.0792378,20.2849,4135.46,8973
4,0.03,3,0.0782687,20.0368,4073.35,9179
4,0.03,4,0.0795247,20.3583,4172.27,8745
4,0.03,5,0.079329,20.3082,4219.34,9029
4,0.03,6,0.0794332,20.3349,4143.87,8964
4,0.03,7,0.079849,20.4413,4142.41,8893
4,0.03,8,0.0801411,20.5161,4086.64,8997
4,0.03,9,0.0780269,19.9749,4130.02,8939
4,0.03,10,0.0765252,19.5904,4149.56,8993
4,0.04,1,0.0812522,20.8006,4450.17,9276
4,0.04,2,0.0777036,19.8921,4446.75,9390
4,0.04,3,0.0776944,19.8898,4462.02,9217
4,0.04,4,0.0804696,20.6002,4477.09,9119
4,0.04,5,0.0787613,20.1629,4489.1,9285
4,0.04,6,0.0804722,20.6009,4530.87,9562
4,0.04,7,0.0782322,20.0274,4480.93,9169
4,0.04,8,0.0792096,20.2777,4490.6,9315
4,0.04,9,0.0797005,20.4033,4446.27,9271
4,0.04,10,0.0783494,20.0574,4436.05,9243
4,0.05,1,0.0785339,20.1047,4687.31,9477
4,0.05,2,0.0800152,20.4839,4641.63,9345
4,0.05,3,0.078898,20.1979,4654.78,9446
4,0.05,4,0.0790464,20.2359,4691.69,9498
4,0.05,5,0.0787656,20.164,4651.09,9317
4,0.05,6,0.0793824,20.3219,4690.91,9400
4,0.05,7,0.07951,20.3546,4693.38,9437
4,0.05,8,0.0784501,20.0832,4716.16,9372
4,0.05,9,0.078648,20.1339,4669.95,9555
4,0.05,10,0.0800499,20.4928,4692.75,9335
4,0.06,1,0.0793251,20.3072,4722.96,9381
4,0.06,2,0.078069,19.9857,4774.91,9562
4,0.06,3,0.0796519,20.3909,4770.08,9446
4,0.06,4,0.0783329,20.0532,4810.88,9490
4,0.06,5,0.0794931,20.3502,4787.69,9495
4,0.06,6,0.0787804,20.1678,4825.99,9425
4,0.06,7,0.0780113,19.9709,4857.33,9645
4,0.06,8,0.0777934,19.9151,4800,9567
4,0.06,9,0.0793915,20.3242,4722.24,9469
4,0.06,10,0.0758403,19.4151,4802.57,9565
4,0.07,1,0.0807179,20.6638,4886.45,9480
4,0.07,2,0.0781367,20.003,4895.03,9656
4,0.07,3,0.0777999,19.9168,4889.83,9427
4,0.07,4,0.0774184,19.8191,4758.99,9461
4,0.07,5,0.078579,20.1162,4853.6,9555
4,0.07,6,0.0791189,20.2544,4934.24,9416
4,0.07,7,0.076168,19.499,4845.52,9531
4,0.07,8,0.0783715,20.0631,4869.05,9613
4,0.07,9,0.0789423,20.2092,4903.77,9582
4,0.07,10,0.0781389,20.0036,4900.92,9547
4,0.08,1,0.0789705,20.2164,4973.37,9510
4,0.08,2,0.0769648,19.703,4990.97,9668
4,0.08,3,0.0765425,19.5949,4913.08,9562
4,0.08,4,0.0790903,20.2471,4998.02,9541
4,0.08,5,0.0795412,20.3626,4947.23,9553
4,0.08,6,0.0792999,20.3008,4934.7,9589
4,0.08,7,0.0786788,20.1418,4951.79,9579
4,0.08,8,0.0783099,20.0473,4946.23,9683
4,0.08,9,0.0783134,20.0482,4875.82,9509
4,0.08,10,0.0784314,20.0784,4949.26,9589
4,0.09,1,0.0780326,19.9763,5041.18,9646
4,0.09,2,0.0788229,20.1787,5040.37,9592
4,0.09,3,0.0772821,19.7842,4942.52,9669
4,0.09,4,0.0778103,19.9194,4904.98,9631
4,0.09,5,0.0781806,20.0142,4948.29,9695
4,0.09,6,0.0799375,20.464,4995.19,9658
4,0.09,7,0.0802131,20.5346,5052.44,9608
4,0.09,8,0.080247,20.5432,4994.89,9655
4,0.09,9,0.0784514,20.0836,5013.82,9697
4,0.09,10,0.0801541,20.5194,4989.55,9667
4,0.10,1,0.080306,20.5583,5093.64,9646
4,0.10,2,0.0796979,20.4027,5017.4,9717
4,0.10,3,0.0796445,20.389,5014.54,9676
4,0.10,4,0.0800482,20.4923,5086.94,9679
4,0.10,5,0.0745451,19.0836,4931.18,9728
4,0.10,6,0.0775334,19.8486,5021.04,9765
4,0.10,7,0.0794922,20.35,5073.86,9680
4,0.10,8,0.0790234,20.23,5021.17,9666
4,0.10,9,0.0773997,19.8143,5030.99,9759
4,0.10,10,0.0810595,20.7512,5112.42,9661
8,0.01,1,0.0799405,20.4648,1612.74,6950
8,0.01,2,0.0818177,20.9453,1457.35,7181
8,0.01,3,0.0799679,20.4718,1589.09,7800
8,0.01,4,0.0788741,20.1918,1585.55,7273
8,0.01,5,0.0793312,20.3088,1529.51,9321
8,0.01,6,0.0799453,20.466,1548.91,7765
8,0.01,7,0.0779006,19.9426,1595.46,9101
8,0.01,8,0.0803138,20.5603,1494.97,6815
8,0.01,9,0.0805677,20.6253,1575.13,7503
8,0.01,10,0.0780447,19.9794,1556.46,8006
8,0.02,1,0.0796224,20.3833,3401.68,9014
8,0.02,2,0.0790707,20.2421,3378.47,8772
8,0.02,3,0.0787982,20.1723,3426.57,8958
8,0.02,4,0.0800634,20.4962,3392.89,8923
8,0.02,5,0.0776671,19.8828,3425.09,9319
8,0.02,6,0.0783099,20.0473,3435.21,8875
8,0.02,7,0.0800651,20.4967,3374.23,8794
8,0.02,8,0.0814753,20.8577,3334.71,8673
8,0.02,9,0.0786992,20.147,3377.88,9296
8,0.02,10,0.0776532,19.8792,3385.88,9011
8,0.03,1,0.0799358,20.4636,4109.68,9006
8,0.03,2,0.0800503,20.4929,4129.27,9216
8,0.03,3,0.0803785,20.5769,4083.58,9129
8,0.03,4,0.0797144,20.4069,4077.31,9310
8,0.03,5,0.0798433,20.4399,4101.36,9458
8,0.03,6,0.080911,20.7132,4071.11,9524
8,0.03,7,0.0790686,20.2416,4079.44,9535
8,0.03,8,0.0799405,20.4648,4019.08,9209
8,0.03,9,0.079125,20.256,4004.24,9116
8,0.03,10,0.0786541,20.1354,4113.3,9103
8,0.04,1,0.0787713,20.1654,4490.27,9519
8,0.04,2,0.0799219,20.46,4430.01,9183
8,0.04,3,0.0802517,20.5444,4430.89,9467
8,0.04,4,0.0785004,20.0961,4386.44,9138
8,0.04,5,0.0811024,20.7622,4440.6,9319
8,0.04,6,0.08125,20.8,4395.99,9624
8,0.04,7,0.0799952,20.4788,4425.99,9456
8,0.04,8,0.080671,20.6518,4441.5,9220
8,0.04,9,0.0799861,20.4764,4435.86,9250
8,0.04,10,0.0792752,20.2944,4472.23,9262
8,0.05,1,0.0789718,20.2168,4582.34,9359
8,0.05,2,0.0793798,20.3212,4583.29,9471
8,0.05,3,0.0807179,20.6638,4663.46,9384
8,0.05,4,0.078599,20.1213,4606.08,9518
8,0.05,5,0.0800907,20.5032,4628.96,9490
8,0.05,6,0.0805699,20.6259,4666.24,9629
8,0.05,7,0.0793207,20.3061,4623.53,9532
8,0.05,8,0.079697,20.4024,4614.37,9482
8,0.05,9,0.0810052,20.7373,4635.3,9455
8,0.05,10,0.0801233,20.5116,4664.49,9495
8,0.06,1,0.0789128,20.2017,4757.52,9533
8,0.06,2,0.0796984,20.4028,4854.17,9535
8,0.06,3,0.0811359,20.7708,4749.31,9493
8,0.06,4,0.0803659,20.5737,4747.42,9619
8,0.06,5,0.0798038,20.4298,4732.28,9596
8,0.06,6,0.0798194,20.4338,4837.07,9386
8,0.06,7,0.0774753,19.8337,4726.36,9556
8,0.06,8,0.0798641,20.4452,4803.6,9547
8,0.06,9,0.0794852,20.3482,4764.98,9561
8,0.06,10,0.0791315,20.2577,4805.26,9440
8,0.07,1,0.0773312,19.7968,4873.54,9712
8,0.07,2,0.0800408,20.4904,4885.28,9644
8,0.07,3,0.0792717,20.2936,4876.01,9652
8,0.07,4,0.0798754,20.4481,4865.96,9619
8,0.07,5,0.0790286,20.2313,4863.32,9548
8,0.07,6,0.0789301,20.2061,4912.17,9714
8,0.07,7,0.0802474,20.5433,4794.65,9531
8,0.07,8,0.0783589,20.0599,4841.57,9551
8,0.07,9,0.0781289,20.001,4831.24,9639
8,0.07,10,0.0787648,20.1638,4854.8,9577
8,0.08,1,0.0811871,20.7839,4934.52,9636
8,0.08,2,0.081145,20.7731,4979.66,9709
8,0.08,3,0.0805495,20.6207,4911.63,9606
8,0.08,4,0.0786541,20.1354,4931.82,9634
8,0.08,5,0.0797478,20.4154,4925.75,9631
8,0.08,6,0.0797218,20.4088,4919.08,9685
8,0.08,7,0.0804835,20.6038,4907.1,9620
8,0.08,8,0.0796411,20.3881,4870.97,9711
8,0.08,9,0.080648,20.6459,4939.85,9703
8,0.08,10,0.0785595,20.1112,4960.95,9628
8,0.09,1,0.0803793,20.5771,4959.86,9658
8,0.09,2,0.0807687,20.6768,5032.94,9643
8,0.09,3,0.0779557,19.9567,5004.43,9686
8,0.09,4,0.0796944,20.4018,5015.61,9665
8,0.09,5,0.0788455,20.1844,5022.94,9789
8,0.09,6,0.0801936,20.5296,4997,9660
8,0.09,7,0.0799349,20.4633,4929.82,9760
8,0.09,8,0.0796115,20.3806,5016.76,9691
8,0.09,9,0.0804418,20.5931,4967.29,9686
8,0.09,10,0.0797248,20.4096,5031.44,9671
8,0.10,1,0.0789861,20.2204,5064.53,9771
8,0.10,2,0.0787474,20.1593,5043.05,9732
8,0.10,3,0.078921,20.2038,5060.53,9697
8,0.10,4,0.0794232,20.3323,5080.97,9684
8,0.10,5,0.0801897,20.5286,5016.25,9689
8,0.10,6,0.0798581,20.4437,5028.89,9728
8,0.10,7,0.079161,20.2652,4946.91,9685
8,0.10,8,0.0814614,20.8541,5036.39,9670
8,0.10,9,0.0798563,20.4432,5062.49,9722
8,0.10,10,0.0795282,20.3592,5045.36,9756
12,0.01,1,0.0809861,20.7324,1479.95,8607
12,0.01,2,0.078237,20.0287,1568.49,8577
12,0.01,3,0.0811246,20.7679,1490.08,7146
12,0.01,4,0.0800317,20.4881,1419.56,7887
12,0.01,5,0.0813099,20.8153,1510.71,7519
12,0.01,6,0.0808168,20.6891,1412.66,7168
12,0.01,7,0.0828251,21.2032,1373.09,6994
12,0.01,8,0.0803364,20.5661,1484.21,7528
12,0.01,9,0.0787122,20.1503,1482.61,7725
12,0.01,10,0.0794848,20.3481,1564.49,7586
12,0.02,1,0.0802665,20.5482,3359.87,8420
12,0.02,2,0.0795547,20.366,3322.53,8874
12,0.02,3,0.0795477,20.3642,3431.22,8902
12,0.02,4,0.0806753,20.6529,3363.73,8930
12,0.02,5,0.0803416,20.5674,3303.67,8946
12,0.02,6,0.0784844,20.092,3351.43,8675
12,0.02,7,0.0796059,20.3791,3307.72,8611
12,0.02,8,0.0809592,20.7256,3358.59,8812
12,0.02,9,0.0802365,20.5406,3317.72,8695
12,0.02,10,0.0804123,20.5856,3363.89,8811
12,0.03,1,0.0792704,20.2932,4043.98,9353
12,0.03,2,0.0803216,20.5623,4049.06,9351
12,0.03,3,0.0803776,20.5767,4025.57,9273
12,0.03,4,0.0795304,20.3598,4087.66,9456
12,0.03,5,0.0784874,20.0928,4010.76,9064
12,0.03,6,0.0816089,20.8919,4019.13,9099
12,0.03,7,0.0784705,20.0884,4015.64,9316
12,0.03,8,0.0775352,19.849,3998.94,9247
12,0.03,9,0.0803294,20.5643,4003.94,9161
12,0.03,10,0.0789575,20.2131,4054.86,9067
12,0.04,1,0.0807409,20.6697,4371.83,9401
12,0.04,2,0.0799944,20.4786,4354.51,9306
12,0.04,3,0.0815443,20.8753,4385.64,9383
12,0.04,4,0.0785195,20.101,4388.63,9541
12,0.04,5,0.0799336,20.463,4356.24,9473
12,0.04,6,0.0801549,20.5197,4335.69,9425
12,0.04,7,0.0783993,20.0702,4353.65,9462
12,0.04,8,0.0778303,19.9246,4370.12,9538
12,0.04,9,0.0784627,20.0864,4367.62,9553
12,0.04,10,0.0800204,20.4852,4414.02,9128
12,0.05,1,0.0782843,20.0408,4567.76,9491
12,0.05,2,0.0796853,20.3994,4621.64,9710
12,0.05,3,0.0819952,20.9908,4643.71,9405
12,0.05,4,0.0804019,20.5829,4625.96,9551
12,0.05,5,0.0814978,20.8634,4613.49,9457
12,0.05,6,0.0810634,20.7522,4633.86,9488
12,0.05,7,0.0787504,20.1601,4538.77,9566
12,0.05,8,0.0791029,20.2503,4591.46,9511
12,0.05,9,0.0791081,20.2517,4571.96,9509
12,0.05,10,0.0801984,20.5308,4584.83,9399
12,0.06,1,0.0789045,20.1996,4752.5,9552
12,0.06,2,0.0807465,20.6711,4768.22,9588
12,0.06,3,0.081875,20.96,4728.97,9457
12,0.06,4,0.0806992,20.659,4721.99,9553
12,0.06,5,0.081572,20.8824,4709.55,9478
12,0.06,6,0.0788867,20.195,4777.03,9524
12,0.06,7,0.0786875,20.144,4793.43,9665
12,0.06,8,0.0806107,20.6363,4761.19,9436
12,0.06,9,0.0793963,20.3254,4725.85,9530
12,0.06,10,0.0773485,19.8012,4775.48,9658
12,0.07,1,0.0803129,20.5601,4816.49,9764
12,0.07,2,0.0778533,19.9304,4874.76,9574
12,0.07,3,0.0765686,19.6016,4808.66,9695
12,0.07,4,0.0801172,20.51,4807.05,9581
12,0.07,5,0.0796801,20.3981,4827.21,9484
12,0.07,6,0.0801141,20.5092,4878.71,9592
12,0.07,7,0.079701,20.4034,4775.85,9561
12,0.07,8,0.0791602,20.265,4805.25,9633
12,0.07,9,0.0774401,19.8247,4815.79,9587
12,0.07,10,0.076832,19.669,4888.49,9597
12,0.08,1,0.0795543,20.3659,4901.88,9694
12,0.08,2,0.080092,20.5036,4956.74,9662
12,0.08,3,0.0808928,20.7086,4928.39,9584
12,0.08,4,0.0798698,20.4467,4962.83,9634
12,0.08,5,0.0810126,20.7392,4957.15,9659
12,0.08,6,0.0792817,20.2961,4917.99,9580
12,0.08,7,0.0804787,20.6026,4889.32,9637
12,0.08,8,0.0794358,20.3356,4904.46,9637
12,0.08,9,0.078694,20.1457,4849.12,9628
12,0.08,10,0.0790269,20.2309,4923.8,9677
12,0.09,1,0.0800577,20.4948,4908.68,9641
12,0.09,2,0.0794462,20.3382,4975.4,9644
12,0.09,3,0.0788355,20.1819,4991.91,9634
12,0.09,4,0.0801749,20.5248,4921.22,9662
12,0.09,5,0.0801697,20.5234,4973.46,9712
12,0.09,6,0.0812192,20.7921,4958.9,9689
12,0.09,7,0.0803468,20.5688,4945.9,9601
12,0.09,8,0.0799926,20.4781,4999.4,9753
12,0.09,9,0.0810855,20.7579,4964.51,9711
12,0.09,10,0.0790703,20.242,4979.68,9651
12,0.10,1,0.0806128,20.6369,5026.68,9717
12,0.10,2,0.0798407,20.4392,5041.77,9784
12,0.10,3,0.0791615,20.2653,5076.85,9829
12,0.10,4,0.0796597,20.3929,5044.72,9767
12,0.10,5,0.0792795,20.2956,4985.75,9761
12,0.10,6,0.0811523,20.775,5004.11,9635
12,0.10,7,0.0795043,20.3531,5098.64,9753
12,0.10,8,0.0799826,20.4756,5028.55,9690
12,0.10,9,0.0801515,20.5188,5024.42,9705
12,0.10,10,0.0817105,20.9179,4999.73,9692
16,0.01,1,0.078046,19.9798,1548.92,8341
16,0.01,2,0.0810994,20.7614,1364.89,7606
16,0.01,3,0.0815569,20.8786,1411.57,7403
16,0.01,4,0.0805608,20.6236,1441.28,7610
16,0.01,5,0.0813129,20.8161,1468.01,7294
16,0.01,6,0.0814596,20.8537,1499.95,7575
