VC,PIR,Avg_IP_Throughput_flits_cycle_IP,Avg_Network_Throughput_flits_cycle,Avg_Global_Avg_Delay_cycles,Avg_Max_Delay_cycles,Valid_Runs
4,0.01,7.9102950000e-02,2.0250350000e+01,1613.381000,7203.200000,10
4,0.02,7.9041710000e-02,2.0234690000e+01,3459.904000,8772.400000,10
4,0.03,7.8772670000e-02,2.0165790000e+01,4135.806000,8995.500000,10
12,0.01,8.0386460000e-02,2.0578920000e+01,1478.585000,7673.700000,10
4,0.04,7.9184500000e-02,2.0271230000e+01,4470.985000,9284.700000,10
12,0.02,8.0008410000e-02,2.0482160000e+01,3348.037000,8767.600000,10
4,0.05,7.9129950000e-02,2.0257280000e+01,4678.965000,9418.200000,10
12,0.03,7.9488890000e-02,2.0349150000e+01,4030.954000,9238.700000,10
4,0.06,7.8468890000e-02,2.0088030000e+01,4787.465000,9504.500000,10
12,0.04,7.9560030000e-02,2.0367370000e+01,4369.795000,9421.000000,10
4,0.07,7.8339150000e-02,2.0054820000e+01,4873.740000,9526.800000,10
8,0.01,7.9670350000e-02,2.0395610000e+01,1554.517000,7771.500000,10
12,0.05,8.0008770000e-02,2.0482240000e+01,4599.344000,9508.700000,10
4,0.08,7.8414270000e-02,2.0074050000e+01,4948.047000,9578.300000,10
4,0.09,7.8913160000e-02,2.0201760000e+01,4992.323000,9651.800000,10
8,0.02,7.9142450000e-02,2.0260460000e+01,3393.261000,8963.500000,10
12,0.06,7.9872690000e-02,2.0447400000e+01,4751.421000,9544.100000,10
8,0.03,7.9762150000e-02,2.0419120000e+01,4078.837000,9260.600000,10
12,0.07,7.8777950000e-02,2.0167150000e+01,4829.826000,9606.800000,10
16,0.01,8.0123880000e-02,2.0511720000e+01,1457.978000,7673.600000,10
8,0.04,7.9972520000e-02,2.0472950000e+01,4434.978000,9343.800000,10
12,0.08,7.9833860000e-02,2.0437490000e+01,4919.168000,9639.200000,10
16,0.02,7.9403390000e-02,2.0327260000e+01,3311.747000,8930.100000,10
8,0.05,7.9847530000e-02,2.0440960000e+01,4626.806000,9481.500000,10
12,0.09,8.0039840000e-02,2.0490200000e+01,4961.906000,9669.800000,10
16,0.03,8.0097400000e-02,2.0504930000e+01,3996.348000,9233.700000,10
8,0.06,7.9569230000e-02,2.0369740000e+01,4777.797000,9526.600000,10
16,0.04,7.9765840000e-02,2.0420060000e+01,4366.253000,9366.100000,10
8,0.07,7.8997780000e-02,2.0223430000e+01,4859.854000,9618.700000,10
16,0.05,8.0599560000e-02,2.0633500000e+01,4572.364000,9485.900000,10
8,0.08,8.0033740000e-02,2.0488630000e+01,4928.133000,9656.300000,10
16,0.06,7.9823780000e-02,2.0434890000e+01,4706.738000,9554.500000,10
8,0.09,7.9755020000e-02,2.0417300000e+01,4997.809000,9690.900000,10
16,0.07,8.0211110000e-02,2.0534050000e+01,4821.317000,9633.500000,10
16,0.08,8.0013590000e-02,2.0483480000e+01,4903.794000,9653.300000,10
16,0.09,7.9823710000e-02,2.0434880000e+01,4973.113000,9692.100000,10
4,0.10,7.8874990000e-02,2.0192000000e+01,5040.318000,9697.700000,10
12,0.10,8.0105540000e-02,2.0507030000e+01,5033.122000,9733.300000,10
8,0.10,7.9613240000e-02,2.0380980000e+01,5038.537000,9713.400000,10
16,0.10,8.0358580000e-02,2.0571810000e+01,5006.070000,9733.900000,10
