Topology,VC,Run,Avg_Delay_cycles,IP_Throughput_flits_cycle_IP,Energy_J
cliche,1,1,11.5249,0.0791743,4.23773e-06
cliche,1,2,11.4379,0.0791842,4.23686e-06
cliche,1,3,11.7799,0.0780428,4.23295e-06
cliche,1,4,11.9882,0.0805428,4.24318e-06
cliche,1,5,11.9471,0.0814934,4.2499e-06
cliche,1,6,11.6182,0.077523,4.23279e-06
cliche,1,7,12.0293,0.0799605,4.24224e-06
cliche,1,8,12.2913,0.0834309,4.25043e-06
cliche,1,9,11.4664,0.0794243,4.24064e-06
cliche,1,10,11.7754,0.0811053,4.24549e-06
cliche,2,1,11.18,0.0794375,7.87207e-06
cliche,2,2,10.9162,0.0794474,7.8711e-06
cliche,2,3,10.9311,0.0806217,7.87164e-06
cliche,2,4,10.9714,0.0789507,7.87223e-06
cliche,2,5,10.8817,0.0815789,7.87731e-06
cliche,2,6,11.0077,0.0787763,7.86883e-06
cliche,2,7,11.1359,0.0764539,7.85791e-06
cliche,2,8,11.1876,0.0820329,7.87771e-06
cliche,2,9,10.8231,0.079023,7.86541e-06
cliche,2,10,11.2162,0.0814145,7.87577e-06
cliche,4,1,10.3003,0.0787336,1.51279e-05
cliche,4,2,10.6175,0.0806809,1.51381e-05
cliche,4,3,10.4622,0.0794342,1.51351e-05
cliche,4,4,10.3422,0.0798322,1.51358e-05
cliche,4,5,10.2387,0.0800362,1.51365e-05
cliche,4,6,10.3882,0.0788092,1.51359e-05
cliche,4,7,10.1956,0.0772961,1.51257e-05
cliche,4,8,10.724,0.0815625,1.5142e-05
cliche,4,9,10.2135,0.0804375,1.51341e-05
cliche,4,10,10.6867,0.0822862,1.51475e-05
cliche,8,1,10.0268,0.0793914,2.96625e-05
cliche,8,2,9.9338,0.0783289,2.96562e-05
cliche,8,3,10.104,0.0797533,2.96587e-05
cliche,8,4,10.2072,0.0800888,2.96621e-05
cliche,8,5,10.2954,0.0820921,2.9672e-05
cliche,8,6,10.397,0.0784704,2.96625e-05
cliche,8,7,10.4246,0.0777763,2.96579e-05
cliche,8,8,9.98582,0.0816974,2.967e-05
cliche,8,9,10.1041,0.0795592,2.96624e-05
cliche,8,10,10.2216,0.0808257,2.96665e-05
