Channels,PIR,Avg_Throughput_flits_cycle_IP,Avg_Delay_cycles,Avg_Energy_J,Avg_Wireless_Utilization,Avg_Energy_per_Throughput,Valid_Runs
1,0.02,1.0164660000e-02,4361.02375000,3.100966250000e-04,2.0937162500e-01,3.059974273478e-02,8
1,0.05,1.0312170000e-02,4792.16875000,3.101297500000e-04,2.0694625000e-01,3.015461914567e-02,8
1,0.08,9.8162350000e-03,4799.76000000,3.100857500000e-04,2.1673725000e-01,3.164748438285e-02,8
1,0.10,9.8718562500e-03,4900.24125000,3.101096250000e-04,2.1611512500e-01,3.158199225420e-02,8
2,0.02,2.1528862500e-02,4144.87000000,3.575037500000e-04,1.9555087500e-01,1.661609448795e-02,8
2,0.05,2.1419212500e-02,4646.88000000,3.574928750000e-04,1.9592537500e-01,1.670198206723e-02,8
2,0.08,2.1874725000e-02,4886.22625000,3.575470000000e-04,1.9226975000e-01,1.636061851420e-02,8
2,0.10,2.1508412500e-02,4850.89875000,3.575225000000e-04,1.9567650000e-01,1.664998845484e-02,8
4,0.02,4.4347487500e-02,3659.30750000,4.521458750000e-04,1.8692750000e-01,1.020259866255e-02,8
4,0.05,4.4580387500e-02,4552.45500000,4.522067500000e-04,1.8658962500e-01,1.014714368370e-02,8
4,0.08,4.4589675000e-02,4702.04625000,4.521827500000e-04,1.8597625000e-01,1.015019046673e-02,8
4,0.10,4.4072250000e-02,4751.16500000,4.521510000000e-04,1.8849500000e-01,1.026294619208e-02,8
8,0.02,7.9384012500e-02,3396.10625000,6.396996250000e-04,1.9497562500e-01,8.059831393469e-03,8
8,0.05,7.9668350000e-02,4621.03375000,6.398705000000e-04,1.9612125000e-01,8.032298625965e-03,8
8,0.08,8.0141237500e-02,4922.56625000,6.398947500000e-04,1.9502400000e-01,7.985383427961e-03,8
8,0.10,7.9593487500e-02,5034.69000000,6.397625000000e-04,1.9460075000e-01,8.038746562823e-03,8
12,0.02,8.3015237500e-02,3293.52875000,8.201156250000e-04,2.1287025000e-01,9.881255785228e-03,8
12,0.05,8.3545412500e-02,4603.45250000,8.203398750000e-04,2.1361825000e-01,9.819993391642e-03,8
12,0.08,8.2722225000e-02,4928.82250000,8.200138750000e-04,2.1241987500e-01,9.916566805280e-03,8
12,0.10,8.3498712500e-02,5054.74625000,8.202918750000e-04,2.1357050000e-01,9.827426362172e-03,8
16,0.02,8.2844787500e-02,3290.89125000,9.983921250000e-04,2.1497537500e-01,1.205309300393e-02,8
16,0.05,8.2566737500e-02,4598.88125000,9.984005000000e-04,2.1589075000e-01,1.209465308514e-02,8
16,0.08,8.2859687500e-02,4932.05250000,9.984600000000e-04,2.1540000000e-01,1.205342802504e-02,8
16,0.10,8.3024537500e-02,5043.44625000,9.985871250000e-04,2.1667337500e-01,1.203047399318e-02,8
