Channels,PIR,Avg_IP_Throughput_flits_cycle_IP,Avg_Network_Throughput_flits_cycle,Avg_Global_Avg_Delay_cycles,Avg_Max_Delay_cycles,Valid_Runs
1,0.01,1.0621836000e-02,2.7191890000e+00,3586.32100000,9575.00000000,10
1,0.02,1.0052952000e-02,2.5735560000e+00,4370.90600000,9762.10000000,10
1,0.03,9.8240030000e-03,2.5149440000e+00,4602.48900000,9813.70000000,10
1,0.04,9.9055240000e-03,2.5358130000e+00,4727.69900000,9843.20000000,10
1,0.05,1.0214317000e-02,2.6148660000e+00,4835.20600000,9851.90000000,10
1,0.06,1.0096130000e-02,2.5846100000e+00,4801.20300000,9901.10000000,10
1,0.07,9.6099380000e-03,2.4601460000e+00,4707.11500000,9887.30000000,10
1,0.08,9.8677080000e-03,2.5261320000e+00,4806.27800000,9913.20000000,10
1,0.09,9.9024840000e-03,2.5350320000e+00,4797.69500000,9909.10000000,10
1,0.10,9.8315130000e-03,2.5168680000e+00,4912.11100000,9927.00000000,10
4,0.01,4.4961030000e-02,1.1510030000e+01,2406.42200000,8539.30000000,10
4,0.02,4.4337370000e-02,1.1350360000e+01,3671.14100000,9277.00000000,10
4,0.03,4.4133500000e-02,1.1298190000e+01,4169.17600000,9531.80000000,10
4,0.04,4.4552570000e-02,1.1405450000e+01,4378.18300000,9631.00000000,10
4,0.05,4.4414570000e-02,1.1370130000e+01,4542.25500000,9679.30000000,10
4,0.06,4.3505860000e-02,1.1137500000e+01,4641.53200000,9733.80000000,10
4,0.07,4.3675170000e-02,1.1180850000e+01,4693.31700000,9805.00000000,10
4,0.08,4.4422650000e-02,1.1372220000e+01,4712.77900000,9787.70000000,10
4,0.09,4.4304380000e-02,1.1341930000e+01,4749.02800000,9807.10000000,10
4,0.10,4.3974860000e-02,1.1257570000e+01,4774.52300000,9811.10000000,10
8,0.01,7.9670350000e-02,2.0395610000e+01,1554.51700000,7771.50000000,10
8,0.02,7.9142450000e-02,2.0260460000e+01,3393.26100000,8963.50000000,10
8,0.03,7.9762150000e-02,2.0419120000e+01,4078.83700000,9260.60000000,10
8,0.04,7.9972520000e-02,2.0472950000e+01,4434.97800000,9343.80000000,10
8,0.05,7.9847530000e-02,2.0440960000e+01,4626.80600000,9481.50000000,10
8,0.06,7.9569230000e-02,2.0369740000e+01,4777.79700000,9526.60000000,10
8,0.07,7.8997780000e-02,2.0223430000e+01,4859.85400000,9618.70000000,10
8,0.08,8.0033740000e-02,2.0488630000e+01,4928.13300000,9656.30000000,10
8,0.09,7.9755020000e-02,2.0417300000e+01,4997.80900000,9690.90000000,10
8,0.10,7.9613240000e-02,2.0380980000e+01,5038.53700000,9713.40000000,10
12,0.01,8.3271020000e-02,2.1317370000e+01,1402.94900000,7252.90000000,10
12,0.02,8.3182120000e-02,2.1294610000e+01,3285.15200000,8624.00000000,10
12,0.03,8.3215400000e-02,2.1303150000e+01,4022.28200000,9159.40000000,10
12,0.04,8.2513020000e-02,2.1123330000e+01,4387.98300000,9297.70000000,10
12,0.05,8.3412070000e-02,2.1353490000e+01,4600.52600000,9455.50000000,10
12,0.06,8.3011330000e-02,2.1250900000e+01,4739.89400000,9490.90000000,10
12,0.07,8.3146710000e-02,2.1285560000e+01,4854.12500000,9547.50000000,10
12,0.08,8.2972450000e-02,2.1240940000e+01,4928.60100000,9609.10000000,10
12,0.09,8.2710190000e-02,2.1173830000e+01,5006.05700000,9659.60000000,10
12,0.10,8.3276400000e-02,2.1318750000e+01,5053.36400000,9672.90000000,10
16,0.01,8.2730720000e-02,2.1179070000e+01,1410.89100000,7257.50000000,10
16,0.02,8.3132600000e-02,2.1281940000e+01,3288.91900000,8661.50000000,10
16,0.03,8.2311150000e-02,2.1071650000e+01,4019.75000000,9095.10000000,10
16,0.04,8.2813010000e-02,2.1200130000e+01,4405.54000000,9319.00000000,10
16,0.05,8.2789980000e-02,2.1194230000e+01,4604.71300000,9405.40000000,10
16,0.06,8.3267130000e-02,2.1316390000e+01,4733.08800000,9535.70000000,10
16,0.07,8.3098530000e-02,2.1273210000e+01,4855.70300000,9536.50000000,10
16,0.08,8.3095430000e-02,2.1272440000e+01,4936.63300000,9646.00000000,10
16,0.09,8.3243190000e-02,2.1310250000e+01,4983.97900000,9660.60000000,10
16,0.10,8.2933520000e-02,2.1230980000e+01,5044.10200000,9674.20000000,10
