Channels,PIR,Run,Seed,Throughput_flits_cycle_IP,Delay_cycles,Energy_J,Wireless_Utilization,Energy_per_Throughput
1,0.02,1,0,0.00992491,4224.62,0.000310156,0.214362,3.125025818874e-02
1,0.02,2,100,0.0109826,4317.55,0.000310148,0.194081,2.823994318285e-02
1,0.02,3,200,0.0105755,4616.86,0.000310083,0.1998,2.932088317337e-02
1,0.02,4,300,0.00986632,4174.44,0.000310069,0.215676,3.142701635463e-02
1,0.02,5,400,0.00902865,4683.04,0.000309978,0.233568,3.433270754764e-02
1,0.02,6,500,0.0103772,4169.86,0.000310133,0.204708,2.988600007709e-02
1,0.02,7,600,0.0101137,4305.44,0.000310098,0.210748,3.066118235661e-02
1,0.02,8,700,0.0104484,4396.38,0.000310108,0.20203,2.967995099728e-02
1,0.05,1,0,0.0101554,4896.74,0.000310098,0.20901,3.053528172204e-02
1,0.05,2,100,0.0098138,4851.4,0.000310113,0.21626,3.159968615623e-02
1,0.05,3,200,0.00932856,4767.13,0.000310041,0.227661,3.323567624585e-02
1,0.05,4,300,0.0109479,4859.45,0.000310154,0.19333,2.832999936061e-02
1,0.05,5,400,0.0106293,4734.93,0.000310178,0.201816,2.918141363966e-02
1,0.05,6,500,0.0109588,4825.17,0.000310181,0.194363,2.830428514071e-02
1,0.05,7,600,0.0104965,4869.46,0.000310129,0.203046,2.954594388606e-02
1,0.05,8,700,0.0101671,4533.07,0.000310144,0.210084,3.050466701419e-02
1,0.08,1,0,0.00971311,4822.25,0.000310041,0.220264,3.191984853461e-02
1,0.08,2,100,0.00948351,5007.8,0.000310002,0.222595,3.268852987976e-02
1,0.08,3,200,0.00932986,4803.38,0.000310032,0.227531,3.323008062286e-02
1,0.08,4,300,0.0100564,4837.61,0.000310105,0.211111,3.083658167933e-02
1,0.08,5,400,0.00988455,4883.64,0.000310146,0.214823,3.137684568342e-02
1,0.08,6,500,0.00994401,4688.28,0.000310121,0.214592,3.118671441400e-02
1,0.08,7,600,0.00937934,4720.67,0.000310087,0.226244,3.306064179356e-02
1,0.08,8,700,0.0107391,4634.45,0.000310152,0.196738,2.888063245523e-02
