Channels,PIR,Run,Seed,Avg_IP_Throughput_flits_cycle_IP,Network_Throughput_flits_cycle,Global_Avg_Delay_cycles,Max_Delay_cycles
1,0.01,1,0,0.0117357,3.00433,3615.41,9516
1,0.01,2,100,0.0112721,2.88567,3502.91,9553
1,0.01,3,200,0.0102973,2.63611,3321.75,9577
1,0.01,4,300,0.0112049,2.86844,3489.4,9391
1,0.01,5,400,0.00932639,2.38756,3611.12,9716
1,0.01,6,500,0.0107044,2.74033,3720.62,9514
1,0.01,7,600,0.0107053,2.74056,3793.7,9799
1,0.01,8,700,0.00954427,2.44333,3788.13,9455
1,0.01,9,800,0.0104336,2.671,3507.91,9691
1,0.01,10,900,0.0109944,2.81456,3512.26,9538
1,0.02,1,0,0.00992491,2.54078,4224.62,9689
1,0.02,2,100,0.0109826,2.81156,4317.55,9785
1,0.02,3,200,0.0105755,2.70733,4616.86,9920
1,0.02,4,300,0.00986632,2.52578,4174.44,9745
1,0.02,5,400,0.00902865,2.31133,4683.04,9825
1,0.02,6,500,0.0103772,2.65656,4169.86,9829
1,0.02,7,600,0.0101137,2.58911,4305.44,9602
1,0.02,8,700,0.0104484,2.67478,4396.38,9789
1,0.02,9,800,0.00954731,2.44411,4611.59,9763
1,0.02,10,900,0.00966493,2.47422,4209.28,9674
1,0.03,1,0,0.00986632,2.52578,4657.37,9884
1,0.03,2,100,0.0100313,2.568,4729.3,9778
1,0.03,3,200,0.00931727,2.38522,4567.92,9845
1,0.03,4,300,0.0102335,2.61978,4563.8,9752
1,0.03,5,400,0.0100074,2.56189,4710.52,9824
1,0.03,6,500,0.0102222,2.61689,4539.45,9812
1,0.03,7,600,0.00976693,2.50033,4625.43,9839
1,0.03,8,700,0.0100169,2.56433,4598.25,9738
1,0.03,9,800,0.00894227,2.28922,4850.28,9868
1,0.03,10,900,0.00983594,2.518,4182.57,9797
1,0.04,1,0,0.0090217,2.30956,4926.68,9912
1,0.04,2,100,0.00970573,2.48467,4646.61,9839
1,0.04,3,200,0.010428,2.66956,4555.61,9817
1,0.04,4,300,0.010128,2.59278,4970.91,9822
1,0.04,5,400,0.00879731,2.25211,4645.78,9824
1,0.04,6,500,0.0103859,2.65878,4659.1,9917
1,0.04,7,600,0.00981467,2.51256,4969.27,9815
1,0.04,8,700,0.0104462,2.67422,4755.23,9824
1,0.04,9,800,0.00937153,2.39911,4450.05,9846
1,0.04,10,900,0.0109562,2.80478,4697.75,9816
1,0.05,1,0,0.0101554,2.59978,4896.74,9860
1,0.05,2,100,0.0098138,2.51233,4851.4,9883
1,0.05,3,200,0.00932856,2.38811,4767.13,9884
1,0.05,4,300,0.0109479,2.80267,4859.45,9849
1,0.05,5,400,0.0106293,2.72111,4734.93,9790
1,0.05,6,500,0.0109588,2.80544,4825.17,9835
1,0.05,7,600,0.0104965,2.68711,4869.46,9854
1,0.05,8,700,0.0101671,2.60278,4533.07,9913
1,0.05,9,800,0.00921441,2.35889,5028.35,9898
1,0.05,10,900,0.0104314,2.67044,4986.36,9753
1,0.06,1,0,0.00988194,2.52978,4761.33,9948
1,0.06,2,100,0.0101931,2.60944,4927.82,9897
1,0.06,3,200,0.0104041,2.66344,4706.63,9853
1,0.06,4,300,0.0104757,2.68178,4770.16,9914
1,0.06,5,400,0.00966146,2.47333,4736.69,9855
1,0.06,6,500,0.0104527,2.67589,4691.32,9923
1,0.06,7,600,0.00979774,2.50822,4972.8,9939
1,0.06,8,700,0.0102517,2.62444,4612.39,9894
1,0.06,9,800,0.00953906,2.442,4837.04,9869
1,0.06,10,900,0.0103038,2.63778,4995.85,9919
1,0.07,1,0,0.0104444,2.67378,4587.13,9941
1,0.07,2,100,0.00924045,2.36556,4931.07,9937
1,0.07,3,200,0.00974089,2.49367,4528.36,9901
1,0.07,4,300,0.00991797,2.539,4640.2,9865
1,0.07,5,400,0.00945312,2.42,4389.07,9833
1,0.07,6,500,0.00960286,2.45833,4879.37,9878
1,0.07,7,600,0.0102483,2.62356,4617.98,9899
1,0.07,8,700,0.00888108,2.27356,4787.71,9845
1,0.07,9,800,0.00884852,2.26522,5095.73,9859
1,0.07,10,900,0.00972179,2.48878,4614.53,9915
1,0.08,1,0,0.00971311,2.48656,4822.25,9904
1,0.08,2,100,0.00948351,2.42778,5007.8,9900
1,0.08,3,200,0.00932986,2.38844,4803.38,9864
1,0.08,4,300,0.0100564,2.57444,4837.61,9892
1,0.08,5,400,0.00988455,2.53044,4883.64,9876
1,0.08,6,500,0.00994401,2.54567,4688.28,9914
1,0.08,7,600,0.00937934,2.40111,4720.67,9946
1,0.08,8,700,0.0107391,2.74922,4634.45,9969
1,0.08,9,800,0.0100326,2.56833,5274.14,9932
1,0.08,10,900,0.0101146,2.58933,4390.56,9935
1,0.09,1,0,0.00997222,2.55289,4520.61,9890
1,0.09,2,100,0.0101576,2.60033,5210.12,9891
1,0.09,3,200,0.0100265,2.56678,5033.46,9919
1,0.09,4,300,0.00927517,2.37444,4554.37,9848
1,0.09,5,400,0.0101576,2.60033,4888.92,9894
1,0.09,6,500,0.0102791,2.63144,4605.46,9919
1,0.09,7,600,0.00952995,2.43967,4960.83,9918
1,0.09,8,700,0.0103767,2.65644,4732.22,9972
1,0.09,9,800,0.00974609,2.495,4837.91,9908
1,0.09,10,900,0.00950391,2.433,4633.05,9932
1,0.10,1,0,0.0103733,2.65556,4965.82,9940
1,0.10,2,100,0.00948177,2.42733,4904.54,9854
1,0.10,3,200,0.0114479,2.93067,4999.07,9922
1,0.10,4,300,0.00905382,2.31778,4892.39,9912
1,0.10,5,400,0.00967882,2.47778,4748.39,9915
1,0.10,6,500,0.00932031,2.386,4819.21,9904
1,0.10,7,600,0.0103303,2.64456,4801.41,9948
1,0.10,8,700,0.00928863,2.37789,5071.1,9970
1,0.10,9,800,0.00970964,2.48567,4860.2,9971
1,0.10,10,900,0.00963064,2.46544,5058.98,9934
4,0.01,1,0,0.0470734,12.0508,2299.1,8505
4,0.01,2,100,0.043572,11.1544,2385.31,8473
4,0.01,3,200,0.0456059,11.6751,2346.33,8846
4,0.01,4,300,0.0446493,11.4302,2337.16,8563
4,0.01,5,400,0.0451975,11.5706,2588.43,8390
4,0.01,6,500,0.0437457,11.1989,2471.74,8478
4,0.01,7,600,0.0455004,11.6481,2322.64,8263
4,0.01,8,700,0.0441858,11.3116,2488.02,8480
4,0.01,9,800,0.0476476,12.1978,2385.28,8706
4,0.01,10,900,0.0424327,10.8628,2440.21,8689
4,0.02,1,0,0.0429067,10.9841,3698.24,9524
4,0.02,2,100,0.0437387,11.1971,3595.77,9455
4,0.02,3,200,0.0449418,11.5051,3630.88,9250
4,0.02,4,300,0.0432986,11.0844,3548.62,8967
4,0.02,5,400,0.0443134,11.3442,3794.95,9181
4,0.02,6,500,0.0434214,11.1159,3669.3,9173
4,0.02,7,600,0.0456172,11.678,3688.02,9368
4,0.02,8,700,0.0465421,11.9148,3648.68,9164
4,0.02,9,800,0.0440621,11.2799,3722.8,9409
4,0.02,10,900,0.0445317,11.4001,3714.15,9279
4,0.03,1,0,0.0438273,11.2198,4243.67,9468
4,0.03,2,100,0.0450139,11.5236,3991.36,9474
4,0.03,3,200,0.0415998,10.6496,4051.51,9514
4,0.03,4,300,0.0451076,11.5476,4160.77,9561
4,0.03,5,400,0.0446636,11.4339,4155.1,9657
4,0.03,6,500,0.0438008,11.213,4319.27,9494
4,0.03,7,600,0.0439583,11.2533,4170.95,9428
4,0.03,8,700,0.0465408,11.9144,4339.69,9561
4,0.03,9,800,0.0431285,11.0409,4023.52,9402
4,0.03,10,900,0.0436944,11.1858,4235.92,9759
4,0.04,1,0,0.0430009,11.0082,4336.07,9672
4,0.04,2,100,0.0434314,11.1184,4336.86,9573
4,0.04,3,200,0.0437101,11.1898,4314.86,9489
4,0.04,4,300,0.0454006,11.6226,4350.01,9581
4,0.04,5,400,0.0457765,11.7188,4378.19,9643
4,0.04,6,500,0.0448377,11.4784,4308.42,9617
4,0.04,7,600,0.0449332,11.5029,4423.46,9612
4,0.04,8,700,0.0461137,11.8051,4361.04,9623
4,0.04,9,800,0.0441532,11.3032,4417.73,9763
4,0.04,10,900,0.0441684,11.3071,4555.19,9737
4,0.05,1,0,0.0436137,11.1651,4524.44,9614
4,0.05,2,100,0.0441137,11.2931,4567.18,9780
4,0.05,3,200,0.0439835,11.2598,4615.85,9659
4,0.05,4,300,0.0441228,11.2954,4475.66,9751
4,0.05,5,400,0.0448372,11.4783,4560.64,9625
4,0.05,6,500,0.0448563,11.4832,4622.55,9646
4,0.05,7,600,0.0445786,11.4121,4521.28,9649
4,0.05,8,700,0.0465373,11.9136,4532.04,9650
4,0.05,9,800,0.0429787,11.0026,4513.23,9724
4,0.05,10,900,0.0445239,11.3981,4489.68,9695
4,0.06,1,0,0.0443016,11.3412,4766.54,9698
4,0.06,2,100,0.0442613,11.3309,4613.78,9775
4,0.06,3,200,0.0428516,10.97,4553.84,9702
4,0.06,4,300,0.0454861,11.6444,4614.34,9663
4,0.06,5,400,0.0430434,11.0191,4677.67,9840
4,0.06,6,500,0.0457873,11.7216,4552.65,9646
4,0.06,7,600,0.042661,10.9212,4683.26,9706
4,0.06,8,700,0.0437526,11.2007,4663.18,9696
4,0.06,9,800,0.0429193,10.9873,4550.44,9755
4,0.06,10,900,0.0399944,10.2386,4739.62,9857
4,0.07,1,0,0.0436502,11.1744,4740.66,9809
4,0.07,2,100,0.0447591,11.4583,4727.17,9820
4,0.07,3,200,0.0457348,11.7081,4678.7,9787
4,0.07,4,300,0.0447452,11.4548,4597.44,9847
4,0.07,5,400,0.0430226,11.0138,4680.53,9824
4,0.07,6,500,0.0459553,11.7646,4774.55,9820
4,0.07,7,600,0.0425421,10.8908,4738.65,9835
4,0.07,8,700,0.0419635,10.7427,4698.86,9842
4,0.07,9,800,0.0434683,11.1279,4664.85,9722
4,0.07,10,900,0.0409106,10.4731,4631.76,9744
4,0.08,1,0,0.0474484,12.1468,4720.69,9803
4,0.08,2,100,0.04402,11.2691,4796.93,9769
4,0.08,3,200,0.0438815,11.2337,4659.47,9731
4,0.08,4,300,0.0441089,11.2919,4635.5,9770
4,0.08,5,400,0.0445803,11.4126,4698.27,9846
4,0.08,6,500,0.0434709,11.1286,4716.73,9860
4,0.08,7,600,0.0461089,11.8039,4658.34,9779
4,0.08,8,700,0.0430985,11.0332,4730.44,9762
4,0.08,9,800,0.0444288,11.3738,4862.54,9815
4,0.08,10,900,0.0430803,11.0286,4648.88,9742
4,0.09,1,0,0.041908,10.7284,4673.74,9833
4,0.09,2,100,0.0455182,11.6527,4771.58,9898
4,0.09,3,200,0.0458385,11.7347,4623.04,9697
4,0.09,4,300,0.0447921,11.4668,4816.78,9808
4,0.09,5,400,0.0441549,11.3037,4778.78,9845
4,0.09,6,500,0.0420321,10.7602,4721.49,9807
4,0.09,7,600,0.044724,11.4493,4794.22,9800
4,0.09,8,700,0.0431432,11.0447,4700.76,9765
4,0.09,9,800,0.0451563,11.56,4834.69,9796
4,0.09,10,900,0.0457765,11.7188,4775.2,9822
4,0.10,1,0,0.0442274,11.3222,4763.3,9830
4,0.10,2,100,0.0443971,11.3657,4778.47,9822
4,0.10,3,200,0.0444353,11.3754,4724.86,9738
4,0.10,4,300,0.0445321,11.4002,4848.3,9805
4,0.10,5,400,0.0437609,11.2028,4696.06,9788
4,0.10,6,500,0.042434,10.8631,4794.45,9868
4,0.10,7,600,0.0454049,11.6237,4753.13,9878
4,0.10,8,700,0.0433863,11.1069,4650.75,9800
