Channels,PIR,Avg_Throughput_flits_cycle_IP,Avg_Delay_cycles,Avg_Energy_J,Avg_Wireless_Utilization,Avg_Energy_per_Throughput,Valid_Runs
1,0.01,9.5236990000e-03,3787.57100000,3.105923000000e-04,2.2268800000e-01,3.264239427398e-02,10
1,0.03,9.1353720000e-03,4283.95100000,3.105756000000e-04,2.3178200000e-01,3.406155078823e-02,10
1,0.04,9.4897120000e-03,4530.70400000,3.106326000000e-04,2.2389920000e-01,3.284829080300e-02,10
1,0.06,8.9972660000e-03,4528.98100000,3.105558000000e-04,2.3614690000e-01,3.461934732848e-02,10
1,0.07,9.0930570000e-03,4510.89000000,3.105753000000e-04,2.3330260000e-01,3.427172291651e-02,10
1,0.09,9.1857630000e-03,4558.61900000,3.105945000000e-04,2.3095170000e-01,3.384116814142e-02,10
4,0.01,3.4333860000e-02,3216.48000000,4.527713000000e-04,2.3467250000e-01,1.319100792008e-02,10
4,0.03,3.4405420000e-02,4599.16700000,4.528352000000e-04,2.3507560000e-01,1.316568626304e-02,10
4,0.04,3.4027790000e-02,4798.68600000,4.527389000000e-04,2.3612660000e-01,1.330915094398e-02,10
4,0.06,3.4369320000e-02,4970.19900000,4.528041000000e-04,2.3382590000e-01,1.317902166340e-02,10
4,0.07,3.4422030000e-02,5015.23100000,4.528364000000e-04,2.3378630000e-01,1.315774688646e-02,10
4,0.09,3.4425550000e-02,5113.11200000,4.528565000000e-04,2.3463190000e-01,1.315843122933e-02,10
8,0.01,3.8779920000e-02,2666.45200000,6.335704000000e-04,2.6879170000e-01,1.634796482326e-02,10
8,0.03,3.9683120000e-02,4277.08800000,6.340096000000e-04,2.7032000000e-01,1.599305960903e-02,10
8,0.04,3.8863670000e-02,4586.17400000,6.335556000000e-04,2.6510640000e-01,1.631195371628e-02,10
8,0.06,3.9690940000e-02,4771.66400000,6.338950000000e-04,2.6684930000e-01,1.598650530412e-02,10
8,0.07,3.9371050000e-02,4828.33500000,6.337872000000e-04,2.6648520000e-01,1.610277135970e-02,10
8,0.09,3.8903990000e-02,4985.38500000,6.336425000000e-04,2.6742840000e-01,1.631057594119e-02,10
12,0.01,3.7812070000e-02,2728.17100000,8.115739000000e-04,2.7316500000e-01,2.147604666790e-02,10
12,0.03,3.8304510000e-02,4314.99000000,8.116727000000e-04,2.6822730000e-01,2.121277038336e-02,10
12,0.04,3.9078960000e-02,4592.82600000,8.120211000000e-04,2.7088230000e-01,2.079237685827e-02,10
12,0.06,3.8760420000e-02,4816.90200000,8.119858000000e-04,2.7317690000e-01,2.096797060641e-02,10
12,0.07,3.8963850000e-02,4864.05000000,8.119648000000e-04,2.7035750000e-01,2.084925415338e-02,10
12,0.09,3.8788190000e-02,4969.58300000,8.118732000000e-04,2.6934760000e-01,2.093805240355e-02,10
16,0.01,3.8297970000e-02,2679.48500000,9.899041000000e-04,2.7211220000e-01,2.586287610834e-02,10
16,0.03,3.9095700000e-02,4253.98100000,9.902974000000e-04,2.7357260000e-01,2.533538549628e-02,10
16,0.04,3.8900510000e-02,4561.99200000,9.901361000000e-04,2.7061530000e-01,2.547285649317e-02,10
16,0.06,3.8482220000e-02,4785.78400000,9.900762000000e-04,2.7385310000e-01,2.575059570719e-02,10
16,0.07,3.8569060000e-02,4901.87900000,9.901368000000e-04,2.7382180000e-01,2.568415718096e-02,10
16,0.09,3.8737890000e-02,4960.49500000,9.901973000000e-04,2.7421870000e-01,2.558687319854e-02,10
