Channels,PIR,Run,Seed,Throughput_flits_cycle_IP,Delay_cycles,Energy_J,Wireless_Utilization,Energy_per_Throughput
1,0.01,1,0,0.00974566,3594.91,0.000310622,0.216776,3.187285417304e-02
1,0.01,2,100,0.00971484,3963.4,0.000310644,0.218938,3.197623429722e-02
1,0.01,3,200,0.00934809,3895.85,0.000310604,0.22748,3.322646658301e-02
1,0.01,4,300,0.00939931,3765.06,0.000310581,0.223416,3.304295740858e-02
1,0.01,5,400,0.00986415,3831.06,0.000310593,0.215054,3.148705159593e-02
1,0.01,6,500,0.00925087,3858.92,0.000310545,0.229489,3.356927510602e-02
1,0.01,7,600,0.00898047,3770.73,0.000310481,0.234458,3.457291210816e-02
1,0.01,8,700,0.00995443,3610.77,0.00031064,0.213978,3.120620668386e-02
1,0.01,9,800,0.00959028,3819.06,0.000310605,0.221175,3.238747982332e-02
1,0.01,10,900,0.00938889,3765.95,0.000310608,0.226116,3.308250496065e-02
1,0.03,1,0,0.00874175,4698.92,0.000310498,0.242701,3.551897503360e-02
1,0.03,2,100,0.0091224,4292.29,0.000310595,0.234467,3.404750942734e-02
1,0.03,3,200,0.00945356,4387.67,0.000310558,0.221973,3.285090484431e-02
1,0.03,4,300,0.00876953,3942.8,0.000310524,0.239659,3.540942331003e-02
1,0.03,5,400,0.00919661,4362.69,0.000310545,0.228769,3.376733383279e-02
1,0.03,6,500,0.00876649,4218.21,0.00031055,0.240729,3.542466825377e-02
1,0.03,7,600,0.0097717,4278.32,0.000310715,0.216069,3.179743545135e-02
1,0.03,8,700,0.00980729,4435.52,0.000310677,0.214711,3.167817001435e-02
1,0.03,9,800,0.00906771,4184.48,0.000310578,0.232901,3.425098508885e-02
1,0.03,10,900,0.00865668,4038.61,0.000310516,0.245841,3.587010262595e-02
1,0.04,1,0,0.00879644,4618.03,0.000310539,0.241191,3.530280431629e-02
1,0.04,2,100,0.00980035,4463.67,0.00031065,0.214324,3.169784752585e-02
1,0.04,3,200,0.0101788,4384.39,0.000310745,0.206897,3.052864777773e-02
1,0.04,4,300,0.00912413,4434.43,0.000310615,0.231935,3.404324576699e-02
1,0.04,5,400,0.00994271,4695.57,0.000310737,0.213333,3.125274698749e-02
1,0.04,6,500,0.00890625,4462.31,0.000310543,0.238752,3.486798596491e-02
