VC,PIR,Run,Throughput_flits_cycle_IP,Delay_cycles,Energy_J,Wireless_Utilization
8,0.01,1,0.0376667,5442.42,0.000632399,0.247438
8,0.01,2,0.0384905,5478.35,0.000632661,0.246177
8,0.01,3,0.0369635,5446.77,0.000632162,0.24799
8,0.01,4,0.036444,5407.18,0.000632057,0.249678
8,0.01,5,0.0378806,5501.34,0.000632418,0.245081
8,0.01,6,0.0366888,5344.25,0.00063214,0.250711
8,0.01,7,0.0372287,5376.46,0.000632136,0.243311
8,0.01,8,0.0367743,5407.18,0.000631822,0.240539
8,0.01,9,0.0366181,5456.82,0.000632006,0.246726
8,0.01,10,0.0373537,5521.51,0.000632208,0.245012
8,0.02,1,0.0372964,5434.38,0.000632208,0.246405
8,0.02,2,0.0371519,5531.02,0.000632043,0.244036
8,0.02,3,0.037066,5482.24,0.000632144,0.246232
8,0.02,4,0.037122,5453.75,0.000632072,0.243539
8,0.02,5,0.0376788,5516.07,0.00063239,0.247785
8,0.02,6,0.0373342,5433.94,0.000632137,0.24347
8,0.02,7,0.0379245,5442.96,0.000632335,0.243466
8,0.02,8,0.0365972,5456.16,0.000631901,0.244514
8,0.02,9,0.0369245,5450.23,0.000632196,0.250919
8,0.02,10,0.0376984,5444.88,0.000632551,0.251418
8,0.03,1,0.0362843,5491.58,0.00063182,0.244971
8,0.03,2,0.0367847,5541.45,0.000632053,0.247662
8,0.03,3,0.0361671,5413.86,0.000631774,0.244194
8,0.03,4,0.0370712,5486.4,0.00063207,0.244654
8,0.03,5,0.0367591,5496.21,0.00063189,0.242059
8,0.03,6,0.0376454,5537.96,0.000632339,0.245218
8,0.03,7,0.0357339,5494.64,0.000631751,0.250402
8,0.03,8,0.0367817,5477.3,0.000632082,0.247379
8,0.03,9,0.0365482,5459.46,0.000631805,0.241542
8,0.03,10,0.0372513,5451.75,0.000632133,0.244118
8,0.04,1,0.0361454,5503.9,0.000631858,0.249567
8,0.04,2,0.0368403,5456.45,0.000631962,0.243599
8,0.04,3,0.0378529,5548.87,0.000632465,0.248105
8,0.04,4,0.0378498,5612.49,0.000632499,0.247555
8,0.04,5,0.0370825,5501.01,0.000632257,0.249473
8,0.04,6,0.0360321,5485.87,0.000631525,0.238488
8,0.04,7,0.0369197,5525.58,0.000632033,0.245376
8,0.04,8,0.0370286,5507.66,0.000632066,0.245424
8,0.04,9,0.0381771,5500.99,0.000632482,0.245322
8,0.04,10,0.0381393,5489.89,0.000632543,0.246822
8,0.05,1,0.036342,5439.46,0.000631917,0.248921
8,0.05,2,0.0378155,5541.11,0.000632309,0.242491
8,0.05,3,0.036819,5581.54,0.000631983,0.244904
8,0.05,4,0.0350799,5466.25,0.000631398,0.246099
8,0.05,5,0.0371415,5533.13,0.000631809,0.235922
8,0.05,6,0.0376458,5502.93,0.000632205,0.241933
8,0.05,7,0.0370911,5464.44,0.000632071,0.243403
8,0.05,8,0.0368837,5524.78,0.000632158,0.249151
8,0.05,9,0.0364271,5431.99,0.000631835,0.24467
8,0.05,10,0.037605,5491.58,0.000632475,0.252153
8,0.06,1,0.0383073,5502,0.000632436,0.242338
8,0.06,2,0.0372491,5577.41,0.000632011,0.240901
8,0.06,3,0.0375091,5523.33,0.000632237,0.243574
8,0.06,4,0.0372587,5488.54,0.000632295,0.24958
8,0.06,5,0.0369188,5470.08,0.000632145,0.248552
8,0.06,6,0.0374405,5539.45,0.000632102,0.241643
8,0.06,7,0.0362049,5555.95,0.000631638,0.241141
8,0.06,8,0.0379857,5547.19,0.000632537,0.24897
8,0.06,9,0.0360747,5491.39,0.000631712,0.244618
8,0.06,10,0.0365061,5471.23,0.000631712,0.238102
8,0.07,1,0.0372951,5501.19,0.000632334,0.24986
8,0.07,2,0.0366037,5571.55,0.000631938,0.245654
8,0.07,3,0.0370178,5602.84,0.000632116,0.245775
8,0.07,4,0.0369826,5442.72,0.000632015,0.243837
8,0.07,5,0.0384527,5610.35,0.000632654,0.245831
8,0.07,6,0.0376263,5545.02,0.00063244,0.248129
8,0.07,7,0.0384375,5578.84,0.000632653,0.247116
8,0.07,8,0.037842,5490.98,0.000632444,0.248414
8,0.07,9,0.0367526,5613.84,0.000632003,0.246239
8,0.07,10,0.0361272,5469.62,0.000631784,0.246098
8,0.08,1,0.0363832,5503.22,0.000631772,0.242511
8,0.08,2,0.0377639,5513.32,0.000632416,0.247475
8,0.08,3,0.0362292,5433.6,0.00063179,0.245386
8,0.08,4,0.0368598,5587.23,0.000631987,0.244837
8,0.08,5,0.0367122,5570.37,0.000632028,0.24634
8,0.08,6,0.0381619,5604.56,0.000632504,0.24559
8,0.08,7,0.0375256,5433.88,0.000632409,0.249965
8,0.08,8,0.0367917,5550.43,0.000631987,0.24394
8,0.08,9,0.0372808,5496.27,0.000632113,0.242623
8,0.08,10,0.0364423,5460.71,0.000631998,0.248534
8,0.09,1,0.0374913,5564.02,0.000632366,0.24927
8,0.09,2,0.0369601,5460.08,0.000632188,0.249823
8,0.09,3,0.036536,5460.65,0.000631701,0.239646
8,0.09,4,0.037803,5542.32,0.000632443,0.248446
8,0.09,5,0.0372114,5554.14,0.000632333,0.25098
8,0.09,6,0.0375365,5506.98,0.000632333,0.247947
8,0.09,7,0.0379171,5581.39,0.000632446,0.247417
8,0.09,8,0.0367322,5403.81,0.00063197,0.245734
8,0.09,9,0.0388967,5593.64,0.000632866,0.248025
8,0.09,10,0.0377522,5559.57,0.000632447,0.249585
8,0.10,1,0.0366146,5486.77,0.000632051,0.249252
8,0.10,2,0.0370807,5532.4,0.000632162,0.247115
8,0.10,3,0.0374918,5576.85,0.000632364,0.247984
8,0.10,4,0.0374887,5497,0.000632075,0.2391
8,0.10,5,0.0379839,5526.54,0.000632436,0.244649
8,0.10,6,0.0366658,5467.68,0.000631945,0.244037
8,0.10,7,0.0365061,5475.75,0.000632006,0.248287
8,0.10,8,0.0378698,5519.27,0.000632486,0.248175
8,0.10,9,0.0371801,5538.09,0.000632171,0.246491
8,0.10,10,0.0373312,5483.14,0.000632145,0.243746
