VC,PIR,Run,Throughput_flits_cycle_IP,Delay_cycles,Energy_J,Wireless_Utilization
8,0.01,1,0.0388112,6014.3,0.000627272,0.151422
8,0.01,2,0.0401927,5993.8,0.00062729,0.145588
8,0.01,3,0.0405347,5984.67,0.000627513,0.149718
8,0.01,4,0.0406102,5970.21,0.000627576,0.150652
8,0.01,5,0.0395252,6046.13,0.000627202,0.148425
8,0.01,6,0.0397057,6021.83,0.000627294,0.148013
8,0.01,7,0.0402769,6012.91,0.000627647,0.151636
8,0.01,8,0.0396732,5994.96,0.000627534,0.155087
8,0.01,9,0.0393086,6005.75,0.000626853,0.139728
8,0.01,10,0.0383711,5998.75,0.000627119,0.153909
8,0.02,1,0.0413225,6034.94,0.000627651,0.150314
8,0.02,2,0.0396658,6017.08,0.000627098,0.146552
8,0.02,3,0.0409444,6055.09,0.000627562,0.151077
8,0.02,4,0.0391372,6063.77,0.00062694,0.143103
8,0.02,5,0.0404922,5995.47,0.000627642,0.155758
8,0.02,6,0.0413411,6051.28,0.000627663,0.150853
8,0.02,7,0.0397921,6043.19,0.000627509,0.15694
8,0.02,8,0.0403451,6075.65,0.000627914,0.162232
8,0.02,9,0.0392465,6151.79,0.000627172,0.149273
8,0.02,10,0.039888,6096.01,0.000626916,0.137676
8,0.03,1,0.0394457,6043.67,0.000627378,0.148547
8,0.03,2,0.0396636,6067.15,0.000627464,0.15285
8,0.03,3,0.0394171,6105.33,0.000627183,0.148519
8,0.03,4,0.0409297,6026.74,0.000627495,0.147614
8,0.03,5,0.0394375,6069.15,0.000627418,0.154483
8,0.03,6,0.0404049,6061.43,0.000627199,0.144546
8,0.03,7,0.0404076,6037.96,0.000627741,0.157057
8,0.03,8,0.041059,5997.53,0.000627206,0.141575
8,0.03,9,0.0400477,6090.24,0.000627222,0.14637
8,0.03,10,0.0390842,6111.97,0.000627356,0.154877
8,0.04,1,0.0406207,6040.74,0.000627777,0.1577
8,0.04,2,0.0402808,6027.96,0.00062734,0.147328
8,0.04,3,0.0400234,6109.03,0.000627354,0.14835
8,0.04,4,0.0407387,6075.32,0.000627308,0.144839
8,0.04,5,0.0391515,6166.57,0.000627168,0.147172
8,0.04,6,0.0406775,6027.89,0.000627437,0.149444
8,0.04,7,0.0404779,6055.68,0.000627858,0.159301
8,0.04,8,0.0403806,6078.59,0.000627582,0.152878
8,0.04,9,0.0405039,6095.14,0.000627422,0.149002
8,0.04,10,0.039944,6110.71,0.000627331,0.146883
8,0.05,1,0.0406641,6100.24,0.000627277,0.145478
8,0.05,2,0.0417713,6040.51,0.000627898,0.154879
8,0.05,3,0.0398012,6106.74,0.000627806,0.161391
8,0.05,4,0.0400482,6131.43,0.000627299,0.146427
8,0.05,5,0.0416467,6118.41,0.000627444,0.144388
8,0.05,6,0.0399913,6031.94,0.000627118,0.143894
8,0.05,7,0.0398924,6085.73,0.000627515,0.153816
8,0.05,8,0.0405095,6004.48,0.000627328,0.146551
8,0.05,9,0.0395816,6125.54,0.000627307,0.151797
8,0.05,10,0.04049,6024.34,0.000627181,0.144978
8,0.06,1,0.0417483,6047.91,0.000627631,0.14783
8,0.06,2,0.0410404,6007.98,0.000627748,0.154996
8,0.06,3,0.0411662,6035.06,0.000627432,0.145592
8,0.06,4,0.0403086,6077.82,0.000627492,0.151648
8,0.06,5,0.0417318,6075.59,0.000627203,0.139463
8,0.06,6,0.0411523,6014.09,0.00062781,0.156479
8,0.06,7,0.0386441,6134.12,0.000626985,0.146499
8,0.06,8,0.0402235,6090.72,0.00062734,0.151116
8,0.06,9,0.0407617,6122.54,0.000627799,0.15681
8,0.06,10,0.0406628,6075.96,0.000627963,0.151124
