VC,PIR,Run,Throughput_flits_cycle_IP,Delay_cycles,Energy_J,Wireless_Utilization
8,0.01,1,0.0386163,3012.62,0.000241549,0
8,0.01,2,0.0381645,2935.6,0.00024143,0
8,0.01,3,0.0382105,2940.89,0.000241477,0
8,0.01,4,0.0380642,2927.94,0.000241444,0
8,0.01,5,0.0381675,2819.11,0.000241495,0
8,0.01,6,0.0388828,3030.18,0.00024157,0
8,0.01,7,0.0381793,2850.24,0.000241422,0
8,0.01,8,0.0382214,2896.18,0.000241462,0
8,0.01,9,0.0367426,2987.67,0.000241192,0
8,0.01,10,0.0389874,2865.61,0.000241565,0
8,0.02,1,0.0389631,4046.2,0.000241576,0
8,0.02,2,0.0393663,4070.08,0.000241648,0
8,0.02,3,0.0383151,4130.83,0.00024154,0
8,0.02,4,0.0387969,4066.61,0.000241571,0
8,0.02,5,0.0367882,3980.19,0.000241302,0
8,0.02,6,0.0367157,4045.64,0.000241286,0
8,0.02,7,0.0385825,4092.94,0.000241564,0
8,0.02,8,0.0393368,4127.55,0.000241673,0
8,0.02,9,0.0388989,4174.07,0.000241626,0
8,0.02,10,0.0386623,4031.09,0.000241528,0
8,0.03,1,0.0364449,4476.78,0.00024123,0
8,0.03,2,0.0375799,4538.57,0.000241382,0
8,0.03,3,0.0392335,4453.51,0.000241634,0
8,0.03,4,0.0371723,4485.28,0.000241336,0
8,0.03,5,0.0386953,4521.04,0.000241567,0
8,0.03,6,0.0381506,4552.35,0.000241477,0
8,0.03,7,0.0397222,4412.96,0.000241688,0
8,0.03,8,0.0378247,4469.39,0.00024146,0
8,0.03,9,0.0391688,4512.04,0.000241634,0
8,0.03,10,0.0391319,4489.36,0.000241631,0
8,0.04,1,0.0382917,4724.88,0.000241483,0
8,0.04,2,0.040253,4691.85,0.000241779,0
8,0.04,3,0.0382847,4725.22,0.000241488,0
8,0.04,4,0.0376879,4748.51,0.000241419,0
8,0.04,5,0.0395694,4723.78,0.000241709,0
8,0.04,6,0.0384987,4708.02,0.00024154,0
8,0.04,7,0.0381076,4657.93,0.000241519,0
8,0.04,8,0.0385352,4757.39,0.000241543,0
8,0.04,9,0.03727,4673.6,0.000241407,0
8,0.04,10,0.0376458,4690.88,0.000241424,0
8,0.05,1,0.0385595,4952.57,0.000241561,0
8,0.05,2,0.0373733,4862.88,0.000241364,0
8,0.05,3,0.037546,4830.58,0.000241395,0
8,0.05,4,0.0385842,4904.24,0.000241572,0
8,0.05,5,0.0379896,4837.38,0.000241491,0
8,0.05,6,0.0364588,4905.6,0.000241243,0
8,0.05,7,0.0358286,4814.54,0.000241147,0
8,0.05,8,0.0394631,4785.36,0.000241696,0
8,0.05,9,0.0383446,4780.4,0.000241518,0
8,0.05,10,0.0394913,4824.99,0.000241702,0
8,0.06,1,0.0363785,4905.82,0.000241244,0
8,0.06,2,0.0379523,4973.51,0.000241465,0
8,0.06,3,0.0375803,4918.43,0.000241424,0
8,0.06,4,0.0379926,5001.24,0.000241455,0
8,0.06,5,0.0395122,4961.5,0.000241714,0
8,0.06,6,0.0406163,4971.8,0.00024188,0
8,0.06,7,0.0389618,4958.84,0.000241614,0
8,0.06,8,0.0386228,4973.09,0.000241574,0
8,0.06,9,0.0373594,5014.44,0.0002414,0
8,0.06,10,0.0389536,4886.48,0.000241611,0
8,0.07,1,0.0365603,5001.67,0.000241289,0
8,0.07,2,0.0373147,4922.7,0.000241396,0
8,0.07,3,0.0384883,4918.4,0.000241587,0
8,0.07,4,0.0370395,5068.48,0.000241293,0
8,0.07,5,0.0387721,4928.64,0.000241558,0
8,0.07,6,0.0379284,5004.58,0.000241451,0
8,0.07,7,0.0380347,5037.35,0.000241457,0
8,0.07,8,0.0383286,5052.71,0.000241549,0
8,0.07,9,0.0407635,4991.15,0.000241862,0
8,0.07,10,0.0385013,5047.38,0.00024155,0
8,0.08,1,0.0383529,4993.94,0.000241495,0
8,0.08,2,0.0394484,4955.78,0.000241678,0
8,0.08,3,0.0392027,5003.92,0.000241643,0
8,0.08,4,0.0386003,4978.22,0.000241561,0
8,0.08,5,0.0386879,5038.99,0.00024157,0
8,0.08,6,0.037799,4956.64,0.000241426,0
8,0.08,7,0.0383312,5024.28,0.000241549,0
8,0.08,8,0.0380039,5053.77,0.000241474,0
8,0.08,9,0.0389206,5113.11,0.000241631,0
8,0.08,10,0.0376367,5123.3,0.00024147,0
8,0.09,1,0.0389774,5061.18,0.000241608,0
8,0.09,2,0.0382409,5136.92,0.000241516,0
8,0.09,3,0.0391836,5042.61,0.000241641,0
8,0.09,4,0.0389236,5166.82,0.000241645,0
8,0.09,5,0.0378064,5012.16,0.000241433,0
8,0.09,6,0.0393537,5067.01,0.000241651,0
8,0.09,7,0.0396584,5119.86,0.000241723,0
8,0.09,8,0.0398819,5089.68,0.000241732,0
8,0.09,9,0.0382153,5070.42,0.000241505,0
8,0.09,10,0.0389084,5111,0.000241582,0
8,0.10,1,0.0388859,5209.89,0.000241571,0
8,0.10,2,0.0377613,5126.53,0.000241404,0
8,0.10,3,0.0385174,5109.82,0.000241581,0
8,0.10,4,0.0379262,5100.8,0.000241424,0
8,0.10,5,0.038987,5168.3,0.000241614,0
8,0.10,6,0.038464,5056.53,0.000241558,0
8,0.10,7,0.038885,5108.62,0.000241616,0
8,0.10,8,0.0393407,5172.85,0.000241645,0
8,0.10,9,0.0400404,5194.17,0.000241788,0
8,0.10,10,0.039125,5108.71,0.000241645,0
