channels,pir,avg_ip_throughput_flits_per_cycle_per_ip,global_avg_delay_cycles,total_energy_j,wireless_utilization,status,log_file
8,0.01,0.02098740,2596.81000000,0.00009055,0.22467700,OK,/home/kings/noxim/other/results/logs/ch8_pir0p01.log
8,0.02,0.02214450,3490.43000000,0.00009117,0.23881300,OK,/home/kings/noxim/other/results/logs/ch8_pir0p02.log
8,0.03,0.02094440,3640.39000000,0.00009044,0.22595100,OK,/home/kings/noxim/other/results/logs/ch8_pir0p03.log
8,0.04,0.02238630,3890.15000000,0.00009106,0.22581400,OK,/home/kings/noxim/other/results/logs/ch8_pir0p04.log
8,0.05,0.01968400,3522.37000000,0.00008971,0.20280600,OK,/home/kings/noxim/other/results/logs/ch8_pir0p05.log
8,0.06,0.02308550,4545.42000000,0.00009140,0.23489600,OK,/home/kings/noxim/other/results/logs/ch8_pir0p06.log
8,0.07,0.02201170,4251.95000000,0.00009094,0.22885600,OK,/home/kings/noxim/other/results/logs/ch8_pir0p07.log
8,0.08,0.02037280,4737.00000000,0.00009035,0.23189100,OK,/home/kings/noxim/other/results/logs/ch8_pir0p08.log
8,0.09,0.01414410,3928.67000000,0.00008768,0.18637200,OK,/home/kings/noxim/other/results/logs/ch8_pir0p09.log
8,0.10,0.02250910,4994.75000000,0.00009076,0.21170800,OK,/home/kings/noxim/other/results/logs/ch8_pir0p10.log
12,0.01,0.02381380,2418.23000000,0.00011399,0.23441900,OK,/home/kings/noxim/other/results/logs/ch12_pir0p01.log
12,0.02,0.01874960,2985.37000000,0.00011207,0.22129600,OK,/home/kings/noxim/other/results/logs/ch12_pir0p02.log
12,0.03,0.01870310,4026.17000000,0.00011176,0.20929600,OK,/home/kings/noxim/other/results/logs/ch12_pir0p03.log
12,0.04,0.01994570,4397.72000000,0.00011219,0.21409900,OK,/home/kings/noxim/other/results/logs/ch12_pir0p04.log
12,0.05,0.02036280,3831.26000000,0.00011247,0.22037400,OK,/home/kings/noxim/other/results/logs/ch12_pir0p05.log
12,0.06,0.02203910,4686.17000000,0.00011356,0.24556800,OK,/home/kings/noxim/other/results/logs/ch12_pir0p06.log
12,0.07,0.02384550,4128.16000000,0.00011401,0.23542300,OK,/home/kings/noxim/other/results/logs/ch12_pir0p07.log
12,0.08,0.02013240,4772.41000000,0.00011265,0.23267800,OK,/home/kings/noxim/other/results/logs/ch12_pir0p08.log
12,0.09,0.01088800,3527.85000000,0.00010839,0.13588500,OK,/home/kings/noxim/other/results/logs/ch12_pir0p09.log
12,0.10,0.02258680,4994.70000000,0.00011322,0.21850500,OK,/home/kings/noxim/other/results/logs/ch12_pir0p10.log
16,0.01,0.02309550,2398.99000000,0.00013578,0.22457700,OK,/home/kings/noxim/other/results/logs/ch16_pir0p01.log
16,0.02,0.02483460,3448.99000000,0.00013649,0.23028500,OK,/home/kings/noxim/other/results/logs/ch16_pir0p02.log
16,0.03,0.01674570,2520.13000000,0.00013348,0.21444100,OK,/home/kings/noxim/other/results/logs/ch16_pir0p03.log
16,0.04,0.01589710,3454.46000000,0.00013281,0.18694700,OK,/home/kings/noxim/other/results/logs/ch16_pir0p04.log
16,0.05,0.02228120,3977.52000000,0.00013555,0.22907900,OK,/home/kings/noxim/other/results/logs/ch16_pir0p05.log
16,0.06,0.02098960,4757.73000000,0.00013464,0.20268300,OK,/home/kings/noxim/other/results/logs/ch16_pir0p06.log
16,0.07,0.02245360,4896.14000000,0.00013571,0.23134000,OK,/home/kings/noxim/other/results/logs/ch16_pir0p07.log
16,0.08,0.02350300,4650.42000000,0.00013660,0.25985800,OK,/home/kings/noxim/other/results/logs/ch16_pir0p08.log
16,0.09,0.01647440,4507.84000000,0.00013299,0.19025000,OK,/home/kings/noxim/other/results/logs/ch16_pir0p09.log
16,0.10,0.01656290,5396.08000000,0.00013309,0.19296000,OK,/home/kings/noxim/other/results/logs/ch16_pir0p10.log
20,0.01,0.02552730,2689.90000000,0.00015944,0.24959200,OK,/home/kings/noxim/other/results/logs/ch20_pir0p01.log
20,0.02,0.02636760,3359.20000000,0.00015929,0.23004000,OK,/home/kings/noxim/other/results/logs/ch20_pir0p02.log
20,0.03,0.02448220,4406.16000000,0.00015879,0.24207600,OK,/home/kings/noxim/other/results/logs/ch20_pir0p03.log
20,0.04,0.01882990,4025.05000000,0.00015619,0.19629000,OK,/home/kings/noxim/other/results/logs/ch20_pir0p04.log
20,0.05,0.02260760,4718.24000000,0.00015779,0.22204300,OK,/home/kings/noxim/other/results/logs/ch20_pir0p05.log
20,0.06,0.01958770,4297.23000000,0.00015647,0.20133000,OK,/home/kings/noxim/other/results/logs/ch20_pir0p06.log
20,0.07,0.02280030,4398.38000000,0.00015797,0.22265400,OK,/home/kings/noxim/other/results/logs/ch20_pir0p07.log
20,0.08,0.02213110,4701.67000000,0.00015778,0.23100400,OK,/home/kings/noxim/other/results/logs/ch20_pir0p08.log
20,0.09,0.02270530,4731.61000000,0.00015812,0.23749400,OK,/home/kings/noxim/other/results/logs/ch20_pir0p09.log
20,0.10,0.02396180,5189.17000000,0.00015856,0.23723700,OK,/home/kings/noxim/other/results/logs/ch20_pir0p10.log
